Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Carma Roadside Assistance,4.8,4,N/A,+1 647-719-9348,"Toronto, ON M4G 2G6, Canada",https://www.yelp.com/biz/carma-roadside-assistance-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Roadside Assistance, Auto Repair",https://www.yelp.com/biz/carma-roadside-assistance-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,carma-roadside-assistance-toronto
Twizzy Auto Spa,5,1,N/A,+1 647-883-0113,"Richmond Hill, ON L4S 0B2, Canada",https://www.yelp.com/biz/twizzy-auto-spa-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Detailing, Car Wash",https://www.yelp.com/biz/twizzy-auto-spa-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,twizzy-auto-spa-richmond-hill
Gerry's Car Care,5,5,N/A,+1 905-832-9495,"45 Rodinea Road, Unit 4, Vaughan, ON L6A 1R4, Canada",https://www.yelp.com/biz/gerrys-car-care-vaughan?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Oil Change Stations, Towing",https://www.yelp.com/biz/gerrys-car-care-vaughan?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,gerrys-car-care-vaughan
Fiix,3.3,3,N/A,+1 647-361-4449,"Markham, ON L6C 2Z5, Canada",https://www.yelp.com/biz/fiix-markham-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Parts & Supplies, Auto Repair, Oil Change Stations",https://www.yelp.com/biz/fiix-markham-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,fiix-markham-5
Forest Hill North Auto Collision,4.7,3,N/A,+1 905-780-9254,"89 Newkirk Road, Richmond Hill, ON L4C 2C6, Canada",https://www.yelp.com/biz/forest-hill-north-auto-collision-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Body Shops,https://www.yelp.com/biz/forest-hill-north-auto-collision-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,forest-hill-north-auto-collision-richmond-hill
Active Green + Ross Tire & Auto Centre,4.3,6,N/A,+1 905-770-7988,"426 Major Mackenzie Drive E, Richmond Hill, ON L4C 1J2, Canada",https://www.yelp.com/biz/active-green-ross-tire-and-auto-centre-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Tires,https://www.yelp.com/biz/active-green-ross-tire-and-auto-centre-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,active-green-ross-tire-and-auto-centre-richmond-hill
Ha's Auto Services,0,0,N/A,+1 905-477-9191,"9191 Woodbine Avenue, Markham, ON L3R 0K1, Canada",https://www.yelp.com/biz/has-auto-services-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/has-auto-services-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,has-auto-services-markham
RichmondHill Auto Glass,5,5,N/A,+1 905-737-3777,"10 Newkirk Road, Unit 16, Richmond Hill, ON L4C 5S3, Canada",https://www.yelp.com/biz/richmondhill-auto-glass-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Glass Services, Windshield Installation & Repair",https://www.yelp.com/biz/richmondhill-auto-glass-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,richmondhill-auto-glass-richmond-hill
Mr Lube,3,7,N/A,+1 905-737-0300,"1070 Major Mackenzie Drive E, Richmond Hill, ON L4S 1P3, Canada",https://www.yelp.com/biz/mr-lube-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Oil Change Stations, Auto Repair",https://www.yelp.com/biz/mr-lube-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,mr-lube-richmond-hill
Partsmart,1,1,N/A,+1 905-787-8429,"460 Elgin Mills Road E, Unit 5, Richmond Hill, ON L4C 5E7, Canada",https://www.yelp.com/biz/partsmart-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Parts & Supplies,https://www.yelp.com/biz/partsmart-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Brampton,partsmart-richmond-hill
