Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
G T Tallara's Automotive,5,2,N/A,+1 905-549-5526,"370 Beach Road, Hamilton, ON L8H 3K5, Canada",https://www.yelp.com/biz/g-t-tallaras-automotive-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/g-t-tallaras-automotive-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,g-t-tallaras-automotive-hamilton
Dave's Automotive,4.5,6,N/A,+1 905-529-7951,"1134 Cannon Street E, Hamilton, ON L8L 2J8, Canada",https://www.yelp.com/biz/daves-automotive-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/daves-automotive-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,daves-automotive-hamilton
Chestnut Avenue Auto Service,5,1,N/A,+1 905-312-0112,"43 Av Chestnut, Hamilton, ON L8L 6K8, Canada",https://www.yelp.com/biz/chestnut-avenue-auto-service-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/chestnut-avenue-auto-service-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,chestnut-avenue-auto-service-hamilton
The Bug Shop,5,4,N/A,+1 905-547-2042,"29 Kenilworth Avenue North, Hamilton, ON L8H 4R4, Canada",https://www.yelp.com/biz/the-bug-shop-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/the-bug-shop-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,the-bug-shop-hamilton
JD Autos & Tire Service,0,0,N/A,+1 905-544-4443,"1574 Barton St E, Hamilton, ON L8H 5L5, Canada",https://www.yelp.com/biz/jd-autos-and-tire-service-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/jd-autos-and-tire-service-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,jd-autos-and-tire-service-hamilton
Eric's Automotive,4,4,N/A,+1 905-549-1117,"1135 King Street E, Hamilton, ON L8M 1E7, Canada",https://www.yelp.com/biz/erics-automotive-hamilton-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/erics-automotive-hamilton-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,erics-automotive-hamilton-2
Hamilton Alignment and Brakes,5,3,N/A,+1 905-549-7665,"1575 King Street E, Hamilton, ON L8K 1T3, Canada",https://www.yelp.com/biz/hamilton-alignment-and-brakes-hamilton-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/hamilton-alignment-and-brakes-hamilton-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,hamilton-alignment-and-brakes-hamilton-2
Go 2 Mechanic,4,1,N/A,+1 905-692-1301,"151 Swayze Road, Unit M, Hamilton, ON L0R 1P0, Canada",https://www.yelp.com/biz/go-2-mechanic-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires, Auto Customization",https://www.yelp.com/biz/go-2-mechanic-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,go-2-mechanic-hamilton
Trotter's Auto Service,4.3,6,N/A,+1 905-312-1229,"231 Gage Avenue N, Hamilton, ON L8L 8A9, Canada",https://www.yelp.com/biz/trotters-auto-service-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/trotters-auto-service-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,trotters-auto-service-hamilton
Ontario Tire & Auto Repair,5,1,N/A,+1 905-525-2002,"970 Barton Street E, Hamilton, ON L8L 3C7, Canada",https://www.yelp.com/biz/ontario-tire-and-auto-repair-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/ontario-tire-and-auto-repair-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchener,ontario-tire-and-auto-repair-hamilton
