Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Assured Automotive,4.5,4,N/A,+1 905-475-2800,"30 Alden Rd, Unit #1, Markham, ON L3R 2S1, Canada",https://www.yelp.com/biz/assured-automotive-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Body Shops, Auto Repair",https://www.yelp.com/biz/assured-automotive-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,assured-automotive-markham-2
Ha's Auto Services,0,0,N/A,+1 905-477-9191,"9191 Woodbine Avenue, Markham, ON L3R 0K1, Canada",https://www.yelp.com/biz/has-auto-services-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/has-auto-services-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,has-auto-services-markham
T-Lex Auto Service,4.4,23,N/A,+1 905-415-3384,"7605 Woodbine Avenue, Markham, ON L3R 5V3, Canada",https://www.yelp.com/biz/t-lex-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/t-lex-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,t-lex-auto-service-markham
Audio Heaven,4.9,43,N/A,+1 905-763-1686,"55 W Beaver Creek, Unit 43, Richmond Hill, ON L4B 1K5, Canada",https://www.yelp.com/biz/audio-heaven-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Car Stereo Installation, Car Window Tinting",https://www.yelp.com/biz/audio-heaven-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,audio-heaven-richmond-hill
Princess Auto,3.2,5,N/A,+1 905-944-9696,"8500 Woodbine Avenue, Markham, ON L3R 4X7, Canada",https://www.yelp.com/biz/princess-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Parts & Supplies,https://www.yelp.com/biz/princess-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,princess-auto-markham
Woodbine Chrysler,2,9,N/A,+1 905-415-2260,"8280 Woodbine Avenue, Markham, ON L3R 2N8, Canada",https://www.yelp.com/biz/woodbine-chrysler-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Car Rental, Auto Repair, Car Dealers",https://www.yelp.com/biz/woodbine-chrysler-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,woodbine-chrysler-markham
Street Performance Auto Service,5,6,N/A,+1 905-943-9449,"7605 Woodbine Avenue, Markham, ON L3R 5V3, Canada",https://www.yelp.com/biz/street-performance-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/street-performance-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,street-performance-auto-service-markham
Danny's Auto,5,3,N/A,+1 905-479-3300,"7634 Woodbine Avenue, Markham, ON L3R 2N2, Canada",https://www.yelp.com/biz/dannys-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/dannys-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,dannys-auto-markham
Gerry's Car Care,5,5,N/A,+1 905-832-9495,"45 Rodinea Road, Unit 4, Vaughan, ON L6A 1R4, Canada",https://www.yelp.com/biz/gerrys-car-care-vaughan?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Oil Change Stations, Towing",https://www.yelp.com/biz/gerrys-car-care-vaughan?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,gerrys-car-care-vaughan
Fiix,3.3,3,N/A,+1 647-361-4449,"Markham, ON L6C 2Z5, Canada",https://www.yelp.com/biz/fiix-markham-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Parts & Supplies, Auto Repair, Oil Change Stations",https://www.yelp.com/biz/fiix-markham-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,fiix-markham-5
Tee Jay's Automotive,4.3,6,N/A,+1 905-415-0379,"7605 Woodbine Avenue, Markham, ON L3R 5V3, Canada",https://www.yelp.com/biz/tee-jays-automotive-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/tee-jays-automotive-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,tee-jays-automotive-markham
Nextmod,4.3,19,N/A,+1 416-800-9139,"7634 Woodbine Ave, Unit 2B, Markham, ON L3R 2N2, Canada",https://www.yelp.com/biz/nextmod-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Parts & Supplies,https://www.yelp.com/biz/nextmod-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,nextmod-markham
Dr Car Noah,0,0,N/A,+1 905-967-9033,"24-155 E Beaver Creek Road, Richmond Hill, ON L4B 2N1, Canada",https://www.yelp.com/biz/dr-car-noah-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/dr-car-noah-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,dr-car-noah-richmond-hill
K1-Auto,0,0,N/A,+1 289-923-2291,"Markham, ON L3R 8L3, Canada",https://www.yelp.com/biz/k1-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/k1-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,k1-auto-markham
Gear6 Automotive Services,5,1,N/A,+1 647-807-4327,"47 Guardsman Rd, Thornhill, ON L3T 6L2, Canada",https://www.yelp.com/biz/gear6-automotive-services-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/gear6-automotive-services-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,gear6-automotive-services-thornhill
