Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Beck Automotive,3.5,15,N/A,+1 416-222-6583,"355 John Street, Thornhill, ON L3T 5W5, Canada",https://www.yelp.com/biz/beck-automotive-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/beck-automotive-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,beck-automotive-thornhill
Glen Cameron Auto & Transmission Service,4.6,15,N/A,+1 905-881-0775,"71 Glen Cameron Road, Thornhill, ON L3T 1P5, Canada",https://www.yelp.com/biz/glen-cameron-auto-and-transmission-service-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Transmission Repair",https://www.yelp.com/biz/glen-cameron-auto-and-transmission-service-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,glen-cameron-auto-and-transmission-service-thornhill
Professional Shine by Taylor Cline Auto Detailing,5,1,N/A,,"87 Green Lane, Thornhill, ON L3T 6K6, Canada",https://www.yelp.com/biz/professional-shine-by-taylor-cline-auto-detailing-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Auto Detailing, Car Wash",https://www.yelp.com/biz/professional-shine-by-taylor-cline-auto-detailing-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,professional-shine-by-taylor-cline-auto-detailing-thornhill
Guardsman Automotive,4.5,10,N/A,+1 647-847-2702,"47 Guradsman Road, Unit 3, Thornhill, ON L3T 6L2, Canada",https://www.yelp.com/biz/guardsman-automotive-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/guardsman-automotive-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,guardsman-automotive-thornhill
Strong Automotive,3.9,9,N/A,+1 416-225-4011,"219 Sheppard Avenue  E, North York, ON M2N 3A8, Canada",https://www.yelp.com/biz/strong-automotive-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires, Transmission Repair",https://www.yelp.com/biz/strong-automotive-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,strong-automotive-north-york
Sum Kim Auto Service,5,6,N/A,+1 905-882-9996,"134 Doncaster Avenue, Thornhill, ON L3T 1L3, Canada",https://www.yelp.com/biz/sum-kim-auto-service-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/sum-kim-auto-service-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,sum-kim-auto-service-thornhill
Car Dent Medic,5,8,N/A,+1 647-996-3368,"60 Green Lane, Thornhill, ON L3T 7P5, Canada",https://www.yelp.com/biz/car-dent-medic-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Body Shops, Auto Repair",https://www.yelp.com/biz/car-dent-medic-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,car-dent-medic-thornhill
Mr Lube,2.6,21,N/A,+1 416-492-3058,"1500 Finch Avenue E, North York, ON M2J 4Y6, Canada",https://www.yelp.com/biz/mr-lube-north-york-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/mr-lube-north-york-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,mr-lube-north-york-2
Linwood Auto Body Shop,5,1,N/A,+1 416-917-7755,"93 Glen Cameron Road, Thornhill, ON L3T 1N8, Canada",https://www.yelp.com/biz/linwood-auto-body-shop-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Body Shops",https://www.yelp.com/biz/linwood-auto-body-shop-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,linwood-auto-body-shop-thornhill
T-Lex Auto Service,4.4,23,N/A,+1 905-415-3384,"7605 Woodbine Avenue, Markham, ON L3R 5V3, Canada",https://www.yelp.com/biz/t-lex-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/t-lex-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,t-lex-auto-service-markham
Car Wings Auto,5,4,N/A,+1 905-882-8377,"60 Green Lane, Thornhill, ON L3T 7P5, Canada",https://www.yelp.com/biz/car-wings-auto-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/car-wings-auto-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,car-wings-auto-thornhill
Street Performance Auto Service,5,6,N/A,+1 905-943-9449,"7605 Woodbine Avenue, Markham, ON L3R 5V3, Canada",https://www.yelp.com/biz/street-performance-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/street-performance-auto-service-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,street-performance-auto-service-markham
Danny's Auto,5,3,N/A,+1 905-479-3300,"7634 Woodbine Avenue, Markham, ON L3R 2N2, Canada",https://www.yelp.com/biz/dannys-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/dannys-auto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,dannys-auto-markham
Leo's Auto Service Centre,4.3,7,N/A,+1 905-889-4809,"134 Doncaster Avenue, Thornhill, ON L3T 1L3, Canada",https://www.yelp.com/biz/leos-auto-service-centre-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/leos-auto-service-centre-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,leos-auto-service-centre-thornhill
Don Valley North Lexus,2.5,42,N/A,+1 416-798-3865,"7200 Victoria Park, Markham, ON L3R 2M5, Canada",https://www.yelp.com/biz/don-valley-north-lexus-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Car Dealers, Auto Repair",https://www.yelp.com/biz/don-valley-north-lexus-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,don-valley-north-lexus-markham
