Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Booth St Auto Service,5,3,N/A,+1 613-233-4767,"297 Booth St, Ottawa, ON K1R 7J8, Canada",https://www.yelp.com/biz/booth-st-auto-service-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/booth-st-auto-service-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,booth-st-auto-service-ottawa
Takaki Automotive,4,5,N/A,+1 613-728-7529,"47  Breezehill Ave N, Ottawa, ON K1Y 2H4, Canada",https://www.yelp.com/biz/takaki-automotive-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/takaki-automotive-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,takaki-automotive-ottawa
Savasta Automotive Repair,5,1,N/A,+1 613-237-9274,"417 Gladstone Ave, Ottawa, ON K2P 0Y9, Canada",https://www.yelp.com/biz/savasta-automotive-repair-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/savasta-automotive-repair-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,savasta-automotive-repair-ottawa
Lorelli Service Centre,4,4,N/A,+1 613-236-5236,"779 Gladstone Avenue, Ottawa, ON K1R 6X6, Canada",https://www.yelp.com/biz/lorelli-service-centre-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/lorelli-service-centre-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,lorelli-service-centre-ottawa
Grandtech Auto,5,1,N/A,+1 613-729-6888,"111 Breezehill Ave N, Ottawa, ON K1Y 2H6, Canada",https://www.yelp.com/biz/grandtech-auto-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/grandtech-auto-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,grandtech-auto-ottawa
Preston Street Garage,5,1,N/A,+1 613-234-2660,"241 Preston Street, Ottawa, ON K1R 7R3, Canada",https://www.yelp.com/biz/preston-street-garage-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/preston-street-garage-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,preston-street-garage-ottawa
Scotty's Auto Body,5,14,N/A,+1 613-234-8056,"758 Gladstone Avenue, Ottawa, ON K1R 6X5, Canada",https://www.yelp.com/biz/scottys-auto-body-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Body Shops,https://www.yelp.com/biz/scottys-auto-body-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,scottys-auto-body-ottawa
Speedy Auto Service  Central,4.6,7,N/A,+1 613-236-5582,"540 Bronson Avenue, Ottawa, ON K1R 6J9, Canada",https://www.yelp.com/biz/speedy-auto-service-central-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires, Transmission Repair",https://www.yelp.com/biz/speedy-auto-service-central-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,speedy-auto-service-central-ottawa
Dirienzo & Saikaley Automotive Service,5,2,N/A,+1 613-722-5819,"1 Spadina Ave, Ottawa, ON K1Y 2B7, Canada",https://www.yelp.com/biz/dirienzo-and-saikaley-automotive-service-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/dirienzo-and-saikaley-automotive-service-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,dirienzo-and-saikaley-automotive-service-ottawa
Frisby Tire Co.,5,2,N/A,+1 613-521-8681,"425 Industrial Avenue, Ottawa, ON K1G 0Z1, Canada",https://www.yelp.com/biz/frisby-tire-co-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/frisby-tire-co-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,frisby-tire-co-ottawa
