Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
General Tech Automotive,4.7,11,N/A,+1 416-530-9970,"1277 Caledonia Road, Unit 5&6, North York, ON M6A 2X7, Canada",https://www.yelp.com/biz/general-tech-automotive-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires, Oil Change Stations",https://www.yelp.com/biz/general-tech-automotive-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,general-tech-automotive-north-york
Hercules Automotive & Tire Service,4.4,7,N/A,+1 416-960-0400,"78 Vaughan Road, Toronto, ON M6C 2L7, Canada",https://www.yelp.com/biz/hercules-automotive-and-tire-service-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/hercules-automotive-and-tire-service-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,hercules-automotive-and-tire-service-toronto
Mark-Caesar Auto Service,4.8,15,N/A,+1 416-783-6975,"986 Roselawn Avenue, York, ON M6B 1C1, Canada",https://www.yelp.com/biz/mark-caesar-auto-service-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/mark-caesar-auto-service-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,mark-caesar-auto-service-york
Old Park Auto Service,5,6,N/A,+1 416-782-8888,"951 Roselawn Avenue, York, ON M6B 1B6, Canada",https://www.yelp.com/biz/old-park-auto-service-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/old-park-auto-service-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,old-park-auto-service-york
Carma Roadside Assistance,4.8,4,N/A,+1 647-719-9348,"Toronto, ON M4G 2G6, Canada",https://www.yelp.com/biz/carma-roadside-assistance-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Roadside Assistance, Auto Repair",https://www.yelp.com/biz/carma-roadside-assistance-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,carma-roadside-assistance-toronto
Mr Lube,2.2,51,N/A,+1 416-787-7350,"793 Spadina Road, Toronto, ON M5P 2X5, Canada",https://www.yelp.com/biz/mr-lube-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/mr-lube-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,mr-lube-toronto-2
Edmar's Auto Service,3,2,N/A,+1 416-658-9100,"260 Vaughan Road, Toronto, ON M6C 2N1, Canada",https://www.yelp.com/biz/edmars-auto-service-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/edmars-auto-service-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,edmars-auto-service-toronto
Jack's Auto Repair Centre,4.6,10,N/A,+1 416-789-7577,"902 Av Roselawn, York, ON M6B 1B9, Canada",https://www.yelp.com/biz/jacks-auto-repair-centre-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/jacks-auto-repair-centre-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,jacks-auto-repair-centre-york
J-Pro Auto Service,5,2,N/A,+1 416-787-3413,"1135 Castlefield Avenue, Toronto, ON M6B 1E8, Canada",https://www.yelp.com/biz/j-pro-auto-service-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/j-pro-auto-service-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,j-pro-auto-service-toronto-2
Sisca's Auto Service,5,2,N/A,+1 416-964-2250,"490 Dupont Street, Toronto, ON M6G 1Y7, Canada",https://www.yelp.com/biz/siscas-auto-service-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/siscas-auto-service-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,siscas-auto-service-toronto-3
