Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Master Mechanic,5,2,N/A,+1 416-746-3866,"6588 Finch Avenue W, Toronto, ON M9V 3Z6, Canada",https://www.yelp.com/biz/master-mechanic-toronto-14?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/master-mechanic-toronto-14?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,master-mechanic-toronto-14
Professional Mobile Mechanic,0,0,N/A,+1 647-795-7517,"Mississauga, ON L4V 1K8, Canada",https://www.yelp.com/biz/professional-mobile-mechanic-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/professional-mobile-mechanic-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,professional-mobile-mechanic-mississauga
Right-Tech Auto Service,3.4,5,N/A,+1 905-671-3427,"3375 Derry Road E, Mississauga, ON L4T 1A8, Canada",https://www.yelp.com/biz/right-tech-auto-service-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Transmission Repair, Tires",https://www.yelp.com/biz/right-tech-auto-service-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,right-tech-auto-service-mississauga
Peel Car Sales,5,1,N/A,+1 905-678-0048,"2701 Derry Road E, Mississauga, ON L4T 1A2, Canada",https://www.yelp.com/biz/peel-car-sales-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Used Car Dealers,https://www.yelp.com/biz/peel-car-sales-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,peel-car-sales-mississauga
Shine Autos,5,10,N/A,+1 416-744-0604,"6811 Steeles Ave W, Toronto, ON M9V 4R9, Canada",https://www.yelp.com/biz/shine-autos-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Car Dealers,https://www.yelp.com/biz/shine-autos-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,shine-autos-toronto
J & L Auto & Truck Repairs,5,1,N/A,+1 416-674-0412,"85 Claireport Cres, Etobicoke, ON M9W 6P5, Canada",https://www.yelp.com/biz/j-and-l-auto-and-truck-repairs-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/j-and-l-auto-and-truck-repairs-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,j-and-l-auto-and-truck-repairs-etobicoke
Doaba Truck & Trailer Repair Centre,0,0,N/A,+1 437-985-7787,"Mississauga, ON L4T 3E7, Canada",https://www.yelp.com/biz/doaba-truck-and-trailer-repair-centre-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Trailer Repair, Commercial Truck Repair, Roadside Assistance",https://www.yelp.com/biz/doaba-truck-and-trailer-repair-centre-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,doaba-truck-and-trailer-repair-centre-mississauga
Mike the Mobile Mechanic,5,1,N/A,+1 416-477-7458,"Mississauga, ON L4T 0A4, Canada",https://www.yelp.com/biz/mike-the-mobile-mechanic-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/mike-the-mobile-mechanic-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,mike-the-mobile-mechanic-mississauga-2
Radman Radtech Auto Repair,5,3,N/A,+1 416-742-4521,"4-321 Rexdale Boulevard, Etobicoke, ON M9W 1R8, Canada",https://www.yelp.com/biz/radman-radtech-auto-repair-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/radman-radtech-auto-repair-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,radman-radtech-auto-repair-etobicoke
Perfect Auto Body,4,1,N/A,+1 416-743-8171,"15 Goodmark Place, Unit 14, Toronto, ON M9W 6R9, Canada",https://www.yelp.com/biz/perfect-auto-body-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Body Shops,https://www.yelp.com/biz/perfect-auto-body-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,perfect-auto-body-toronto
Vap Auto Repairs,2.3,3,N/A,+1 416-743-1616,"1749 Albion Road, Etobicoke, ON M9V 1C3, Canada",https://www.yelp.com/biz/vap-auto-repairs-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/vap-auto-repairs-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,vap-auto-repairs-etobicoke
Khushi Auto Sales,3.2,5,N/A,+1 905-460-9624,"2783 Derry Rd E, Mississagua, ON L4T 1A3, Canada",https://www.yelp.com/biz/khushi-auto-sales-mississagua?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Car Dealers,https://www.yelp.com/biz/khushi-auto-sales-mississagua?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,khushi-auto-sales-mississagua
Nu Way Auto,5,2,N/A,+1 905-678-8888,"7089 Torbram Road, Mississauga, ON L4T 1G7, Canada",https://www.yelp.com/biz/nu-way-auto-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Auto Repair,https://www.yelp.com/biz/nu-way-auto-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,nu-way-auto-mississauga
Precision Auto Care,0,0,N/A,+1 647-424-4721,"Toronto, ON M9W 7J5, Canada",https://www.yelp.com/biz/precision-auto-care-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Detailing, Auto Repair",https://www.yelp.com/biz/precision-auto-care-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,precision-auto-care-toronto
Humbervale Auto Services,0,0,N/A,+1 905-677-5766,"7355 Goreway Drive, Mississauga, ON L4T 2T8, Canada",https://www.yelp.com/biz/humbervale-auto-services-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Gas Stations, Auto Repair",https://www.yelp.com/biz/humbervale-auto-services-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,humbervale-auto-services-mississauga
A A Automotive Services,5,1,N/A,+1 905-678-3283,"2565 Steeles  Avenue E, Unit 27, Brampton, ON L6T 4L6, Canada",https://www.yelp.com/biz/a-a-automotive-services-brampton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Auto Repair, Tires",https://www.yelp.com/biz/a-a-automotive-services-brampton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,a-a-automotive-services-brampton
