Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
JJ Pro Electric,5,1,N/A,+1 613-302-6494,"Ottawa , ON K2P 1Z8, Canada",https://www.yelp.com/biz/jj-pro-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/jj-pro-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,jj-pro-electric-ottawa
Marcel Electric,0,0,N/A,+1 613-746-4006,"1376 Labrie Avenue, Gloucester, ON K1B 3M1, Canada",https://www.yelp.com/biz/marcel-electric-gloucester-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/marcel-electric-gloucester-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,marcel-electric-gloucester-2
Mike Fuller Electric,5,1,N/A,+1 613-225-3249,"1692 Ortona Avenue, Ottawa, ON K2C 1W7, Canada",https://www.yelp.com/biz/mike-fuller-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/mike-fuller-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,mike-fuller-electric-ottawa
Bath Bloom Renovation Services,5,1,N/A,+1 613-850-5678,"Ottawa, ON K2P 0A8, Canada",https://www.yelp.com/biz/bath-bloom-renovation-services-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Plumbing, General Contractors, Electricians",https://www.yelp.com/biz/bath-bloom-renovation-services-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,bath-bloom-renovation-services-ottawa
RJM Renovations,5,3,N/A,,"Ottawa, ON K1A 0A1, Canada",https://www.yelp.com/biz/rjm-renovations-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Flooring, Electricians, Plumbing",https://www.yelp.com/biz/rjm-renovations-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,rjm-renovations-ottawa-2
Donald Servant Electric,0,0,N/A,+1 613-789-3535,"219 Bruyère Street, Ottawa, ON K1N 5E4, Canada",https://www.yelp.com/biz/donald-servant-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/donald-servant-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,donald-servant-electric-ottawa
Electricians Ottawa,0,0,N/A,+1 613-800-2661,"222 Queen Street, Floor 10th, Ottawa, ON K1P 5V9, Canada",https://www.yelp.com/biz/electricians-ottawa-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/electricians-ottawa-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,electricians-ottawa-ottawa
Voyage Electric,5,2,N/A,+1 613-402-2237,"Ottawa, ON K0A 2Z0, Canada",https://www.yelp.com/biz/voyage-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/voyage-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,voyage-electric-ottawa
Handy Home Helpers,0,0,N/A,+1 613-668-5852,"Ottawa, ON K0A 0A8, Canada",https://www.yelp.com/biz/handy-home-helpers-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Handyman, Electricians, Drywall Installation & Repair",https://www.yelp.com/biz/handy-home-helpers-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,handy-home-helpers-ottawa
LB Electric,0,0,N/A,+1 613-701-7484,"2087 Montreal Road, Ottawa, ON K1J 6M6, Canada",https://www.yelp.com/biz/lb-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment, Solar Installation",https://www.yelp.com/biz/lb-electric-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,lb-electric-ottawa
