Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Elmar Electric,4.7,3,N/A,+1 844-443-5627,"2800 14th Avenue, Unit 18, Markham, ON L3R 0E4, Canada",https://www.yelp.com/biz/elmar-electric-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/elmar-electric-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,elmar-electric-markham-2
Surrge,5,2,N/A,+1 905-963-1615,"15 Allstate Parkway, Floor 6, Markham, ON L3R 5B4, Canada",https://www.yelp.com/biz/surrge-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Security Systems, Lighting Fixtures & Equipment",https://www.yelp.com/biz/surrge-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,surrge-markham
Golden Wire,0,0,N/A,+1 647-686-1360,"Markham, ON L3T 7Z1, Canada",https://www.yelp.com/biz/golden-wire-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/golden-wire-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,golden-wire-markham
Const Corp Electric,0,0,N/A,+1 647-787-5704,"55 Commerce Valley Drive West, Suit 502, Thornhill, ON L3T 7V9, Canada",https://www.yelp.com/biz/const-corp-electric-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment, Home Automation",https://www.yelp.com/biz/const-corp-electric-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,const-corp-electric-thornhill
Max Electric & Fire Protection,0,0,N/A,+1 416-528-5168,"10 Rollingwood Dr, Richmond hill, ON L4B 1G2, Canada",https://www.yelp.com/biz/max-electric-and-fire-protection-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Fire Protection Services, Electricians",https://www.yelp.com/biz/max-electric-and-fire-protection-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,max-electric-and-fire-protection-richmond-hill
Circuit Lighting,0,0,N/A,+1 855-999-9083,"70 East Beaver Creek Road, Suite 32, Richmond Hill, ON L4B 3B2, Canada",https://www.yelp.com/biz/circuit-lighting-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Lighting Fixtures & Equipment, Electricians",https://www.yelp.com/biz/circuit-lighting-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,circuit-lighting-richmond-hill
Photon Electrical Services,5,1,N/A,+1 416-833-3831,"Markham, ON L3T 5S5, Canada",https://www.yelp.com/biz/photon-electrical-services-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/photon-electrical-services-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,photon-electrical-services-markham
Electric & Gas Solutions,1,1,N/A,+1 416-399-5833,"10667 Bayview Avenue, Richmond Hill, ON L4C 0M9, Canada",https://www.yelp.com/biz/electric-and-gas-solutions-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Heating & Air Conditioning/HVAC, Fireplace Services",https://www.yelp.com/biz/electric-and-gas-solutions-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,electric-and-gas-solutions-richmond-hill
Eboka,0,0,N/A,+1 647-823-8495,"8355 Woodbine Avenue, Unit 4, Toronto, ON L3R 2P4, Canada",https://www.yelp.com/biz/eboka-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/eboka-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,eboka-toronto
Plugin Electric,0,0,N/A,+1 416-832-3370,"372 Hwy 7, Unit 518, Richmond Hill, ON L4B 0C6, Canada",https://www.yelp.com/biz/plugin-electric-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/plugin-electric-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,plugin-electric-richmond-hill
Smith and Long Limited,0,0,N/A,+1 416-391-0443,"91 Esna Park Drive, Unit 3, Markham, ON L3R 2S2, Canada",https://www.yelp.com/biz/smith-and-long-limited-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"General Contractors, Electricians",https://www.yelp.com/biz/smith-and-long-limited-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,smith-and-long-limited-markham
Circuit Energy,0,0,N/A,+1 647-669-9899,"32-70 East Beaver Creek Rd, Richmond Hill, ON L4B 1B8, Canada",https://www.yelp.com/biz/circuit-energy-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Lighting Fixtures & Equipment, Electricians, Solar Installation",https://www.yelp.com/biz/circuit-energy-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,circuit-energy-richmond-hill
Qbc Electric,0,0,N/A,+1 437-218-4229,"Markham, ON L3T 0B4, Canada",https://www.yelp.com/biz/qbc-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, General Contractors",https://www.yelp.com/biz/qbc-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,qbc-electric-markham
Fix It Electrical,1,2,N/A,+1 416-602-3509,"Wingarden Court, Toronto, ON M1B 2K3, Canada",https://www.yelp.com/biz/fix-it-electrical-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/fix-it-electrical-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,fix-it-electrical-toronto
Glenco Electric,0,0,N/A,+1 905-764-5520,"16 Sims Cres, Richmond Hill, ON L4B 2P1, Canada",https://www.yelp.com/biz/glenco-electric-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/glenco-electric-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,glenco-electric-richmond-hill
Amp Electrical Contracting,0,0,N/A,+1 647-333-8949,"Richmond Hill, ON, Canada",https://www.yelp.com/biz/amp-electrical-contracting-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/amp-electrical-contracting-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,amp-electrical-contracting-richmond-hill
EB Trades & Property Care,0,0,N/A,+1 416-402-8080,"7800 Woodbine Avenue, Markham, ON L3R 2N7, Canada",https://www.yelp.com/biz/eb-trades-and-property-care-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Flooring, Electricians, General Contractors",https://www.yelp.com/biz/eb-trades-and-property-care-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,eb-trades-and-property-care-markham
