Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Superior Heating and Cooling,5,5,N/A,+1 613-709-8181,"Ottawa, ON, Canada",https://www.yelp.com/biz/superior-heating-and-cooling-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Heating & Air Conditioning/HVAC,https://www.yelp.com/biz/superior-heating-and-cooling-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,superior-heating-and-cooling-ottawa
Home and Air Solutions,0,0,N/A,+1 613-209-1498,"160 Slater Street, Ottawa, ON K1P 1H1, Canada",https://www.yelp.com/biz/home-and-air-solutions-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Heating & Air Conditioning/HVAC, Solar Installation",https://www.yelp.com/biz/home-and-air-solutions-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,home-and-air-solutions-ottawa
Comfort Systems HVAC & Refrigeration,0,0,N/A,+1 613-355-7753,"Ottawa, ON, Canada",https://www.yelp.com/biz/comfort-systems-hvac-and-refrigeration-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Heating & Air Conditioning/HVAC, Appliances & Repair",https://www.yelp.com/biz/comfort-systems-hvac-and-refrigeration-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,comfort-systems-hvac-and-refrigeration-ottawa
Becklumb's,0,0,N/A,+1 613-710-1015,"175 Strathcona Avenue, Ottawa, ON K1S 1X7, Canada",https://www.yelp.com/biz/becklumbs-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Heating & Air Conditioning/HVAC,https://www.yelp.com/biz/becklumbs-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,becklumbs-ottawa
Reliance Holmes Heating & Cooling,1.5,16,N/A,+1 877-831-8922,"1050 Baxter Road, Unit 5, Ottawa, ON K2C 3P1, Canada",https://www.yelp.com/biz/reliance-holmes-heating-and-cooling-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Heating & Air Conditioning/HVAC, Plumbing, Water Purification Services",https://www.yelp.com/biz/reliance-holmes-heating-and-cooling-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,reliance-holmes-heating-and-cooling-ottawa
The Energy Centre,5,2,N/A,+1 613-746-7000,"1181 Newmarket Street, Ottawa, ON K1B 3V1, Canada",https://www.yelp.com/biz/the-energy-centre-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Heating & Air Conditioning/HVAC, Water Heater Installation/Repair, Fireplace Services",https://www.yelp.com/biz/the-energy-centre-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,the-energy-centre-ottawa-2
Rick Menard Heating & Cooling,5,2,N/A,+1 613-834-1415,"1228 Old Innes Road, Unit 313, Ottawa, ON K1B 3V3, Canada",https://www.yelp.com/biz/rick-menard-heating-and-cooling-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Heating & Air Conditioning/HVAC, Fireplace Services, Water Heater Installation/Repair",https://www.yelp.com/biz/rick-menard-heating-and-cooling-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,rick-menard-heating-and-cooling-ottawa-2
Francis Plumbing Heating & Cooling,3.2,6,N/A,+1 613-224-0041,"894 Boyd Avenue, Ottawa, ON K2A 2E3, Canada",https://www.yelp.com/biz/francis-plumbing-heating-and-cooling-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Plumbing, Heating & Air Conditioning/HVAC, Water Heater Installation/Repair",https://www.yelp.com/biz/francis-plumbing-heating-and-cooling-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,francis-plumbing-heating-and-cooling-ottawa
Best Air,0,0,N/A,+1 613-604-4825,"Ottawa, ON K1V 7B8, Canada",https://www.yelp.com/biz/best-air-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Heating & Air Conditioning/HVAC,https://www.yelp.com/biz/best-air-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,best-air-ottawa
Fresh Air Solutions,3.3,3,N/A,+1 647-694-0088,"Ottawa, ON K1X 1H2, Canada",https://www.yelp.com/biz/fresh-air-solutions-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Heating & Air Conditioning/HVAC, Air Duct Cleaning",https://www.yelp.com/biz/fresh-air-solutions-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,fresh-air-solutions-ottawa
