Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Rosie,5,9,N/A,,"Toronto, ON M4Y 0A9, Canada",https://www.yelp.com/biz/rosie-toronto-15?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/rosie-toronto-15?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,rosie-toronto-15
Maid4Condos,3.9,51,N/A,+1 647-822-0601,"Toronto, ON M6K 1X9, Canada",https://www.yelp.com/biz/maid4condos-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/maid4condos-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,maid4condos-toronto-2
Beam Cleaning Service,4,4,N/A,+1 647-782-6751,"Toronto, ON M4B, Canada",https://www.yelp.com/biz/beam-cleaning-service-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/beam-cleaning-service-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,beam-cleaning-service-toronto-2
Muts Cleaning Services,0,0,N/A,+1 365-366-4942,"38 Bathurst Street, Toronto, ON M5V 3W3, Canada",https://www.yelp.com/biz/muts-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/muts-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,muts-cleaning-services-toronto
Lovelyclean,0,0,N/A,+1 416-834-1350,"Toronto, ON M5V 1R2, Canada",https://www.yelp.com/biz/lovelyclean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Carpet Cleaning, Window Washing",https://www.yelp.com/biz/lovelyclean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,lovelyclean-toronto
Downtown Cleaning,0,0,N/A,+1 647-377-5990,"Toronto, ON M5A 1W4, Canada",https://www.yelp.com/biz/downtown-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/downtown-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,downtown-cleaning-toronto
2K Elite Catering & Dining Solutions,5,1,N/A,+1 403-431-0235,"Toronto, ON M4V 1K7, Canada",https://www.yelp.com/biz/2k-elite-catering-and-dining-solutions-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Bartenders, Personal Chefs",https://www.yelp.com/biz/2k-elite-catering-and-dining-solutions-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,2k-elite-catering-and-dining-solutions-toronto
Christol Clean,0,0,N/A,+1 416-855-9743,"175 Aderlaid Street W, Suite 114, Toronto, ON M5H 1P9, Canada",https://www.yelp.com/biz/christol-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Office Cleaning, Home Cleaning",https://www.yelp.com/biz/christol-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,christol-clean-toronto
Toronto Shine Cleaning,5,2,N/A,+1 647-424-0355,"140 Yonge Street, Suite 285, Toronto, ON M5C 1X6, Canada",https://www.yelp.com/biz/toronto-shine-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/toronto-shine-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,toronto-shine-cleaning-toronto
Everyday Clean,0,0,N/A,+1 437-216-5444,"Toronto, ON M2K 0E4, Canada",https://www.yelp.com/biz/everyday-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/everyday-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,everyday-clean-toronto
Maidstr,4.1,18,N/A,+1 866-428-6778,"2302 Lake Shore Boulevard W, Unit 2, Toronto, ON M8V 1B4, Canada",https://www.yelp.com/biz/maidstr-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/maidstr-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,maidstr-toronto-3
1W1 Service,0,0,N/A,+1 437-665-1661,"Toronto, ON M6K 1M2, Canada",https://www.yelp.com/biz/1w1-service-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/1w1-service-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,1w1-service-toronto
Etobicoke Cleaning,5,1,N/A,+1 226-500-7200,"Toronto, ON M9W 3K4, Canada",https://www.yelp.com/biz/etobicoke-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Organization, Home Cleaning",https://www.yelp.com/biz/etobicoke-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,etobicoke-cleaning-toronto
Squeaky Cleaning,1.5,16,N/A,+1 647-799-1075,"300 Front Street West, Toronto, ON M5V 0E9, Canada",https://www.yelp.com/biz/squeaky-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/squeaky-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,squeaky-cleaning-toronto
Move and Clean,5,1,N/A,+1 647-885-7676,"158 Front Street E, Toronto, ON M5A 1E5, Canada",https://www.yelp.com/biz/move-and-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Movers, Home Cleaning, Carpet Cleaning",https://www.yelp.com/biz/move-and-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,move-and-clean-toronto
Good & Green Eco-Cleaning,5,1,N/A,+1 647-517-4818,"75 E Liberty Street, Toronto, ON M6K 3P9, Canada",https://www.yelp.com/biz/good-and-green-eco-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/good-and-green-eco-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,good-and-green-eco-cleaning-toronto
Ican Clean Services,5,1,N/A,+1 647-806-6224,"Toronto, ON M9B 3Y8, Canada",https://www.yelp.com/biz/ican-clean-services-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/ican-clean-services-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,ican-clean-services-toronto-2
Envy Cleaning Services,0,0,N/A,+1 416-625-7735,"16 St Joseph Street, Toronto, ON M4Y 1J8, Canada",https://www.yelp.com/biz/envy-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/envy-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,envy-cleaning-services-toronto
Queen of Clean,0,0,N/A,+1 519-591-4026,"Toronto, ON M5V 1X2, Canada",https://www.yelp.com/biz/queen-of-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Window Washing",https://www.yelp.com/biz/queen-of-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,queen-of-clean-toronto
itsGLO Cleaning,0,0,N/A,+1 647-724-4456,"55 Gerrard St West, Toronto, ON M5G 0B9, Canada",https://www.yelp.com/biz/itsglo-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/itsglo-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,itsglo-cleaning-toronto
Yren Great Cleaning Services,0,0,N/A,+1 647-649-2734,"Toronto, ON M5G 1S4, Canada",https://www.yelp.com/biz/yren-great-cleaning-services-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Office Cleaning, Home Cleaning",https://www.yelp.com/biz/yren-great-cleaning-services-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,yren-great-cleaning-services-toronto-5
No More Chores,4.2,56,N/A,+1 647-490-2523,"588 Danforth Ave, Unit 5, Toronto, ON M4K 1R1, Canada",https://www.yelp.com/biz/no-more-chores-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Carpet Cleaning",https://www.yelp.com/biz/no-more-chores-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,no-more-chores-toronto-5
Magnificent Cleaning,0,0,N/A,+1 647-948-5482,"35 Rolling Mills Road, Toronto, ON M5A 0J2, Canada",https://www.yelp.com/biz/magnificent-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/magnificent-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,magnificent-cleaning-toronto
H&H Cleaners,0,0,N/A,+1 647-787-7171,"Toronto, ON M5C 2V6, Canada",https://www.yelp.com/biz/h-and-h-cleaners-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/h-and-h-cleaners-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,h-and-h-cleaners-toronto-2
Shining Houses,0,0,N/A,+1 647-622-6604,"Toronto, ON M9B 1B9, Canada",https://www.yelp.com/biz/shining-houses-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/shining-houses-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,shining-houses-toronto
White Foam Cleaning Services,0,0,N/A,+1 416-274-3669,"Toronto, ON M6P 2S3, Canada",https://www.yelp.com/biz/white-foam-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/white-foam-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,white-foam-cleaning-services-toronto
Domo Cleaning,0,0,N/A,+1 437-981-6940,"Toronto, ON M4Y 3B3, Canada",https://www.yelp.com/biz/domo-cleaning-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Office Cleaning, Home Cleaning",https://www.yelp.com/biz/domo-cleaning-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,domo-cleaning-toronto-2
MGL Cleaning Co.,0,0,N/A,+1 647-529-1909,"5700 - 100 King St. W, Toronto, ON M5X 1C7, Canada",https://www.yelp.com/biz/mgl-cleaning-co-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/mgl-cleaning-co-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,mgl-cleaning-co-toronto
