Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Sparkling Sylvers Cleaning Service,5,1,N/A,+1 519-670-1922,"London, ON N6C, Canada",https://www.yelp.com/biz/sparkling-sylvers-cleaning-service-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/sparkling-sylvers-cleaning-service-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,sparkling-sylvers-cleaning-service-london
Ashley's Cleaning,0,0,N/A,+1 226-927-5865,"London, ON N6K 1L4, Canada",https://www.yelp.com/biz/ashleys-cleaning-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/ashleys-cleaning-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,ashleys-cleaning-london
Your Simple Solutions,5,1,N/A,+1 519-694-7787,"London, ON N5V 3G4, Canada",https://www.yelp.com/biz/your-simple-solutions-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Carpet Cleaning, Window Washing",https://www.yelp.com/biz/your-simple-solutions-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,your-simple-solutions-london
80 Ways to Clean,0,0,N/A,+1 519-859-8068,"London, ON N6C 3N7, Canada",https://www.yelp.com/biz/80-ways-to-clean-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/80-ways-to-clean-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,80-ways-to-clean-london
London’s Elite Cleaning,5,1,N/A,+1 519-476-2812,"London, ON N6B, Canada",https://www.yelp.com/biz/london-s-elite-cleaning-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Home Organization",https://www.yelp.com/biz/london-s-elite-cleaning-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,london-s-elite-cleaning-london
Man Maid,4.7,3,N/A,+1 519-495-9854,"London, ON N5W 1T7, Canada",https://www.yelp.com/biz/man-maid-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/man-maid-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,man-maid-london
Infin-icon Cleaners,0,0,N/A,+1 226-927-4364,"London, ON N6C, Canada",https://www.yelp.com/biz/infin-icon-cleaners-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Office Cleaning, Home Cleaning, Carpet Cleaning",https://www.yelp.com/biz/infin-icon-cleaners-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,infin-icon-cleaners-london
Extra Scrub,0,0,N/A,+1 226-700-5635,"380 Wellington Street, Tower B, Floor 6, London, ON N6G 0A1, Canada",https://www.yelp.com/biz/extra-scrub-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Carpet Cleaning",https://www.yelp.com/biz/extra-scrub-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,extra-scrub-london-2
A Girl & Her Bucket Cleaning,0,0,N/A,+1 519-614-2798,"London, ON N6H 2R7, Canada",https://www.yelp.com/biz/a-girl-and-her-bucket-cleaning-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/a-girl-and-her-bucket-cleaning-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,a-girl-and-her-bucket-cleaning-london-2
Neat Freaks,0,0,N/A,+1 226-224-1384,"London, ON N5Z, Canada",https://www.yelp.com/biz/neat-freaks-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Carpet Cleaning",https://www.yelp.com/biz/neat-freaks-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,neat-freaks-london
