Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Everyday Clean,0,0,N/A,+1 437-216-5444,"Toronto, ON M2K 0E4, Canada",https://www.yelp.com/biz/everyday-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/everyday-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",everyday-clean-toronto
Rosalina’s Quality Cleaning,5,1,N/A,+1 647-379-2830,"Toronto, ON M2K 1W9, Canada",https://www.yelp.com/biz/rosalina-s-quality-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/rosalina-s-quality-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",rosalina-s-quality-cleaning-toronto
Sweep Aside,5,1,N/A,+1 647-550-4638,"Toronto , ON M2K 1Z1, Canada",https://www.yelp.com/biz/sweep-aside-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/sweep-aside-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",sweep-aside-toronto-2
A M Facilities,0,0,N/A,+1 647-675-2000,"Toronto, ON M2J 0B6, Canada",https://www.yelp.com/biz/a-m-facilities-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Home Inspectors",https://www.yelp.com/biz/a-m-facilities-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",a-m-facilities-toronto
Luxe Clean Solution,5,1,N/A,+1 226-975-7198,"1108-250 Consumers Road, Toronto, ON M2J 4V6, Canada",https://www.yelp.com/biz/luxe-clean-solution-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/luxe-clean-solution-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",luxe-clean-solution-toronto
Diverseteem Cleaning Services,0,0,N/A,+1 437-366-8126,"Toronto, ON M2H 1A9, Canada",https://www.yelp.com/biz/diverseteem-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/diverseteem-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",diverseteem-cleaning-services-toronto
Super Cleaning,0,0,N/A,+1 289-301-9690,"Markham, ON L3R 6G2, Canada",https://www.yelp.com/biz/super-cleaning-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/super-cleaning-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",super-cleaning-markham-2
Eloquent Cleaning Services,4.5,2,N/A,+1 416-530-2670,"3300 Don Mills Road, Toronto, ON M2J 4X7, Canada",https://www.yelp.com/biz/eloquent-cleaning-services-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/eloquent-cleaning-services-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",eloquent-cleaning-services-toronto-3
MarkLife Cleaning Solutions,3,2,N/A,+1 437-440-5337,"159 Grandview Ave, Thornhill, ON L3T 1H9, Canada",https://www.yelp.com/biz/marklife-cleaning-solutions-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Office Cleaning, Home Cleaning, Carpet Cleaning",https://www.yelp.com/biz/marklife-cleaning-solutions-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",marklife-cleaning-solutions-thornhill
Madam Clean Services,0,0,N/A,+1 647-808-9742,"2002-5162 Yonge Street, Toronto, ON M2N 0E9, Canada",https://www.yelp.com/biz/madam-clean-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Office Cleaning, Home Cleaning",https://www.yelp.com/biz/madam-clean-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,"Mississauga, ON L5A 2H5, Canada",madam-clean-services-toronto
