Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Deisha's Cleaning Service,5,1,N/A,+1 613-618-2300,"Ottawa, ON K1L 6X1, Canada",https://www.yelp.com/biz/deishas-cleaning-service-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/deishas-cleaning-service-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,deishas-cleaning-service-ottawa
Beyond Scrubbles,5,1,N/A,+1 343-541-7615,"Ottawa, ON K1A 0A1, Canada",https://www.yelp.com/biz/beyond-scrubbles-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/beyond-scrubbles-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,beyond-scrubbles-ottawa-2
Rob's Cleanworks,5,1,N/A,+1 613-889-0043,"Ottawa, ON K1K 3L8, Canada",https://www.yelp.com/biz/robs-cleanworks-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Home Organization",https://www.yelp.com/biz/robs-cleanworks-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,robs-cleanworks-ottawa
Usafi Cleaning Services,0,0,N/A,+1 587-436-7566,"Gatineau, QC J8Y 4B6, Canada",https://www.yelp.com/biz/usafi-cleaning-services-gatineau?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/usafi-cleaning-services-gatineau?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,usafi-cleaning-services-gatineau
Multipurpose Cleaning,0,0,N/A,+1 613-879-5565,"Ottawa, ON K1V 0N9, Canada",https://www.yelp.com/biz/multipurpose-cleaning-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/multipurpose-cleaning-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,multipurpose-cleaning-ottawa
Capital City Cleaners,0,0,N/A,+1 613-866-8969,"Ottawa, ON K1R 6B6, Canada",https://www.yelp.com/biz/capital-city-cleaners-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/capital-city-cleaners-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,capital-city-cleaners-ottawa
The Glebe Clean,0,0,N/A,+1 343-429-5173,"250 Lett Street, Ottawa, ON K1R 0A8, Canada",https://www.yelp.com/biz/the-glebe-clean-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/the-glebe-clean-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,the-glebe-clean-ottawa
Obsessive Compulsive Cleaning Services,5,3,N/A,+1 613-762-9345,"Ottawa, ON K1A 0A1, Canada",https://www.yelp.com/biz/obsessive-compulsive-cleaning-services-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/obsessive-compulsive-cleaning-services-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,obsessive-compulsive-cleaning-services-ottawa
Squeaky Clean Bees,0,0,N/A,+1 343-297-2514,"Ottawa, ON K1S 0T6, Canada",https://www.yelp.com/biz/squeaky-clean-bees-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/squeaky-clean-bees-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,squeaky-clean-bees-ottawa
Sparkling Sassys,0,0,N/A,+1 613-298-1851,"Ottawa, ON K2P 0P2, Canada",https://www.yelp.com/biz/sparkling-sassys-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/sparkling-sassys-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,sparkling-sassys-ottawa
Daniel’s Cleaning,0,0,N/A,+1 873-355-6194,"Ottawa, ON K1S 1M9, Canada",https://www.yelp.com/biz/daniel-s-cleaning-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/daniel-s-cleaning-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,daniel-s-cleaning-ottawa
The Cleaning Company,0,0,N/A,+1 902-700-7963,"1512 Merivale Rd, Ottawa, ON K2G 3J6, Canada",https://www.yelp.com/biz/the-cleaning-company-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Window Washing",https://www.yelp.com/biz/the-cleaning-company-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,the-cleaning-company-ottawa
CleanWise,5,1,N/A,+1 647-362-9819,"Ottawa, ON K1K 1T4, Canada",https://www.yelp.com/biz/cleanwise-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/cleanwise-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,cleanwise-ottawa
Z Miles,0,0,N/A,+1 819-329-1052,"Ottawa, ON K1N 7E9, Canada",https://www.yelp.com/biz/z-miles-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/z-miles-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,z-miles-ottawa
