Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Spectacular Sista’s Services,5,1,N/A,(313) 588-9017,"River Rouge, MI 48218",https://www.yelp.com/biz/spectacular-sista-s-services-river-rouge?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Painters",https://www.yelp.com/biz/spectacular-sista-s-services-river-rouge?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,spectacular-sista-s-services-river-rouge
WinCity Cleaning Services,5,1,N/A,+1 519-984-3574,"Windsor, ON N8X 4K8, Canada",https://www.yelp.com/biz/wincity-cleaning-services-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/wincity-cleaning-services-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,wincity-cleaning-services-windsor
The Cleaning Plug,4.6,7,N/A,(800) 380-3766,"22430 Gratiot Ave, Ste 51, Eastpointe, MI 48021",https://www.yelp.com/biz/the-cleaning-plug-eastpointe?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/the-cleaning-plug-eastpointe?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,the-cleaning-plug-eastpointe
Touch Of Class Cleaning Services,4.3,6,N/A,(586) 388-4724,"19790 Catalano St, Clinton Township, MI 48035",https://www.yelp.com/biz/touch-of-class-cleaning-services-clinton-township-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/touch-of-class-cleaning-services-clinton-township-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,touch-of-class-cleaning-services-clinton-township-3
Stephie’s From Dust to Glitter,5,6,N/A,(313) 574-8824,"Detroit, MI 48235",https://www.yelp.com/biz/stephie-s-from-dust-to-glitter-detroit-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/stephie-s-from-dust-to-glitter-detroit-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,stephie-s-from-dust-to-glitter-detroit-4
Crystal Cleaning Crew,0,0,N/A,+1 226-605-6555,"Windsor, ON N9B 0B5, Canada",https://www.yelp.com/biz/crystal-cleaning-crew-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Carpet Cleaning, Laundry Services",https://www.yelp.com/biz/crystal-cleaning-crew-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,crystal-cleaning-crew-windsor
The Grime Genies,0,0,N/A,+1 519-900-7837,"Windsor, ON N0R 1K0, Canada",https://www.yelp.com/biz/the-grime-genies-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/the-grime-genies-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,the-grime-genies-windsor
Heavenly Clean,5,1,N/A,+1 519-984-8014,"Windsor, ON N9G 2Z7, Canada",https://www.yelp.com/biz/heavenly-clean-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/heavenly-clean-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,heavenly-clean-windsor
Diamond Cleaning Services,0,0,N/A,+1 519-956-7383,"Windsor, ON N8P 1C2, Canada",https://www.yelp.com/biz/diamond-cleaning-services-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Window Washing",https://www.yelp.com/biz/diamond-cleaning-services-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,diamond-cleaning-services-windsor
Lee’s Major Detail Cleaning,5,1,N/A,(313) 293-9139,"Roseville, MI 48066",https://www.yelp.com/biz/lee-s-major-detail-cleaning-roseville-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/lee-s-major-detail-cleaning-roseville-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,lee-s-major-detail-cleaning-roseville-2
