Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Wireless Plus,4.4,7,N/A,+1 905-237-6001,"10088 Yonge St, Richmond Hill, ON L4C 1T7, Canada",https://www.yelp.com/biz/wireless-plus-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Electronics Repair, IT Services & Computer Repair",https://www.yelp.com/biz/wireless-plus-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,wireless-plus-richmond-hill
IPace Electronics,0,0,N/A,+1 905-553-0049,"2620 Rutherford Road, Unit 111, Vaughan, ON L4K 0H1, Canada",https://www.yelp.com/biz/ipace-electronics-vaughan-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics, Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/ipace-electronics-vaughan-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,ipace-electronics-vaughan-2
Mega Box,2.9,29,N/A,+1 647-667-8121,"3255 Hightway 7, Unit 121, Markham, ON L3R 3P9, Canada",https://www.yelp.com/biz/mega-box-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/mega-box-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,mega-box-markham
Mobile Square,3.7,68,N/A,+1 647-970-9700,"8339 Kennedy Road, Unit 2368, Markham, ON L3R 1J5, Canada",https://www.yelp.com/biz/mobile-square-markham-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Mobile Phone Accessories",https://www.yelp.com/biz/mobile-square-markham-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,mobile-square-markham-5
iFixthat2,5,3,N/A,+1 416-729-9148,"8339 Kennedy Road, Unit 2337, Markham, ON L3R 0P5, Canada",https://www.yelp.com/biz/ifixthat2-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Electronics Repair",https://www.yelp.com/biz/ifixthat2-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,ifixthat2-markham-2
Future Gadgets,3.9,7,N/A,+1 905-770-7331,"10909 Yonge Street, Richmond Hill, ON L4C 3E3, Canada",https://www.yelp.com/biz/future-gadgets-richmond-hill-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Electronics, Electronics Repair",https://www.yelp.com/biz/future-gadgets-richmond-hill-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,future-gadgets-richmond-hill-2
CPR Cell Phone Repair Toronto,4.1,20,N/A,+1 647-748-2355,"3200 Dufferin Street, Unit 14B, Toronto, ON M6A 3B2, Canada",https://www.yelp.com/biz/cpr-cell-phone-repair-toronto-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Electronics Repair, Mobile Phone Repair",https://www.yelp.com/biz/cpr-cell-phone-repair-toronto-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,cpr-cell-phone-repair-toronto-toronto-5
Re-ink Depot,0,0,N/A,+1 416-332-8613,"668 Silver Star Boulevard, Unit 207, Scarborough, ON M1V 5N1, Canada",https://www.yelp.com/biz/re-ink-depot-scarborough?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"IT Services & Computer Repair, Computers, Office Equipment",https://www.yelp.com/biz/re-ink-depot-scarborough?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,re-ink-depot-scarborough
Navi Wireless,0,0,N/A,+1 647-430-7717,"2541 Finch Ave West, Toronto, ON M9M 2G1, Canada",https://www.yelp.com/biz/navi-wireless-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Mobile Phone Accessories",https://www.yelp.com/biz/navi-wireless-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,navi-wireless-toronto
Cellteck,3.7,3,N/A,+1 647-707-6108,"900 Progress Avenue, Toronto, ON M1H 2Z9, Canada",https://www.yelp.com/biz/cellteck-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/cellteck-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Bramton,cellteck-toronto-2
