Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Ask Computers,4.4,62,N/A,+1 416-862-9595,"111 Front Street E, Toronto, ON M5A 4S5, Canada",https://www.yelp.com/biz/ask-computers-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,IT Services & Computer Repair,https://www.yelp.com/biz/ask-computers-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,ask-computers-toronto-5
Mobile Klinik Professional Smartphone Repair,3,21,N/A,+1 416-216-7111,"199 Bay Street, Unit C-196, Toronto, ON M5L 1E2, Canada",https://www.yelp.com/biz/mobile-klinik-professional-smartphone-repair-toronto-13?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Mobile Phone Accessories",https://www.yelp.com/biz/mobile-klinik-professional-smartphone-repair-toronto-13?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,mobile-klinik-professional-smartphone-repair-toronto-13
iRepair.ca,3.5,120,N/A,+1 416-324-2764,"494 College Street, Toronto, ON M6G 1A4, Canada",https://www.yelp.com/biz/irepair-ca-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics Repair, Mobile Phone Repair",https://www.yelp.com/biz/irepair-ca-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,irepair-ca-toronto-5
SELLTECK,4.6,43,N/A,+1 416-625-6462,"576 Dundas St W, Toronto, ON M5T 1H5, Canada",https://www.yelp.com/biz/sellteck-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair",https://www.yelp.com/biz/sellteck-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,sellteck-toronto
IPace Electronics,0,0,N/A,+1 905-553-0049,"2620 Rutherford Road, Unit 111, Vaughan, ON L4K 0H1, Canada",https://www.yelp.com/biz/ipace-electronics-vaughan-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics, Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/ipace-electronics-vaughan-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,ipace-electronics-vaughan-2
Tech Zone,2.7,25,N/A,+1 416-977-7878,"326 Spadina Avenue, Toronto, ON M5T 2E7, Canada",https://www.yelp.com/biz/tech-zone-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/tech-zone-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,tech-zone-toronto
Canfixit,5,5,N/A,+1 647-978-2271,"Toronto, ON M6J 2X7, Canada",https://www.yelp.com/biz/canfixit-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/canfixit-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,canfixit-toronto-2
Xwireless Phone & Computer Repair,5,4,N/A,+1 647-352-8786,"146 Baldwin street, Toronto, ON M5T 1L8, Canada",https://www.yelp.com/biz/xwireless-phone-and-computer-repair-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/xwireless-phone-and-computer-repair-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,xwireless-phone-and-computer-repair-toronto-2
The Phone Link,4,5,N/A,+1 647-670-2184,"602 Richmond Street W, Toronto, ON M5V 1Y9, Canada",https://www.yelp.com/biz/the-phone-link-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Watch Repair",https://www.yelp.com/biz/the-phone-link-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,the-phone-link-toronto
The Fone Store,3.4,9,N/A,+1 416-792-5511,"399 Yonge Street, Toronto, ON M5B 1S9, Canada",https://www.yelp.com/biz/the-fone-store-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Mobile Phone Accessories",https://www.yelp.com/biz/the-fone-store-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,the-fone-store-toronto
