Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Phone Planet,5,1,N/A,+1 519-857-4663,"1066 Adelaide Street N, Unit 2, London, ON N5Y 2N1, Canada",https://www.yelp.com/biz/phone-planet-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phone Accessories, Computers",https://www.yelp.com/biz/phone-planet-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,phone-planet-london-2
Mr Robot Electronic Repairs,0,0,N/A,+1 226-582-5510,"723 Richmond Street, Unit 2, London, ON N6A 3H2, Canada",https://www.yelp.com/biz/mr-robot-electronic-repairs-london-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics Repair, Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/mr-robot-electronic-repairs-london-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,mr-robot-electronic-repairs-london-5
Enders Direct,4.3,3,N/A,+1 519-850-9200,"515 Wharncliffe Road S, Unit 2, London, ON N6J 2N1, Canada",https://www.yelp.com/biz/enders-direct-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"IT Services & Computer Repair, Computers, Electronics Repair",https://www.yelp.com/biz/enders-direct-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,enders-direct-london
Tel-Star Electronics,1,1,N/A,+1 519-659-7292,"14 Euclid Avenue, London, ON N6C 1C1, Canada",https://www.yelp.com/biz/tel-star-electronics-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electronics Repair,https://www.yelp.com/biz/tel-star-electronics-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,tel-star-electronics-london-2
Microkool Computers,0,0,N/A,+1 519-963-1484,"1135 Richmond Street, London, ON N6A 3K6, Canada",https://www.yelp.com/biz/microkool-computers-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/microkool-computers-london?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,microkool-computers-london
CVN Computers,0,0,N/A,+1 226-641-6838,"106 baseline Road W, London, ON N6J 3V3, Canada",https://www.yelp.com/biz/cvn-computers-london-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics Repair, IT Services & Computer Repair",https://www.yelp.com/biz/cvn-computers-london-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,cvn-computers-london-3
Samsonic Global Phone fix,5,1,N/A,+1 709-280-9696,"London, ON N6K 0B4, Canada",https://www.yelp.com/biz/samsonic-global-phone-fix-london-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/samsonic-global-phone-fix-london-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,samsonic-global-phone-fix-london-3
Auxe Installations,0,0,N/A,+1 647-977-9707,"London, ON N6A 3G3, Canada",https://www.yelp.com/biz/auxe-installations-london-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"TV Mounting, Home Theatre Installation, Security Systems",https://www.yelp.com/biz/auxe-installations-london-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,auxe-installations-london-4
Oxford Electronics,0,0,N/A,+1 226-242-6543,"91 Canterbury Street, Ingersoll, ON N5C 1C7, Canada",https://www.yelp.com/biz/oxford-electronics-ingersoll-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"IT Services & Computer Repair, Electronics Repair",https://www.yelp.com/biz/oxford-electronics-ingersoll-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,oxford-electronics-ingersoll-3
TechBytes,5,1,N/A,+1 226-270-8488,"34 Wistow Street, London, ON N5Y 1E1, Canada",https://www.yelp.com/biz/techbytes-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"IT Services & Computer Repair, Electronics Repair, Printing Services",https://www.yelp.com/biz/techbytes-london-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,London,techbytes-london-2
