Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Mega Box,2.9,29,N/A,+1 647-667-8121,"3255 Hightway 7, Unit 121, Markham, ON L3R 3P9, Canada",https://www.yelp.com/biz/mega-box-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/mega-box-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,mega-box-markham
Plyto,3,2,N/A,+1 416-998-6668,"3255 Highway 7 E, Unit 160, Markham, ON L3R 3P9, Canada",https://www.yelp.com/biz/plyto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Shopping, Mobile Phone Repair",https://www.yelp.com/biz/plyto-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,plyto-markham
Future Gadgets,3.9,7,N/A,+1 905-770-7331,"10909 Yonge Street, Richmond Hill, ON L4C 3E3, Canada",https://www.yelp.com/biz/future-gadgets-richmond-hill-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Electronics, Electronics Repair",https://www.yelp.com/biz/future-gadgets-richmond-hill-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,future-gadgets-richmond-hill-2
Steve's Smartphone Clinic,0,0,N/A,+1 416-602-1812,"8601 Warden Avenue, Unit 3, Markham, ON L3R 9P6, Canada",https://www.yelp.com/biz/steves-smartphone-clinic-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/steves-smartphone-clinic-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,steves-smartphone-clinic-markham
Plus One Solutions,1.8,5,N/A,+1 905-477-6990,"3255 Highway 7 E, Unit 159, Markham, ON L3R 3P9, Canada",https://www.yelp.com/biz/plus-one-solutions-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phones,https://www.yelp.com/biz/plus-one-solutions-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,plus-one-solutions-markham
Phone M.D Repair,3.6,8,N/A,+1 289-469-5570,"570 Alden Road, Unit 12, Markham, ON L3R, Canada",https://www.yelp.com/biz/phone-m-d-repair-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Electronics Repair",https://www.yelp.com/biz/phone-m-d-repair-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,phone-m-d-repair-markham
Apple Repair Canada,3.2,5,N/A,+1 416-518-6889,"40 Vogell Road, Unit 68, Richmond Hill, ON L4B 3K6, Canada",https://www.yelp.com/biz/apple-repair-canada-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics Repair, Telecommunications",https://www.yelp.com/biz/apple-repair-canada-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,apple-repair-canada-richmond-hill
GTA Phone Repairs,5,1,N/A,+1 647-886-9349,"20 Crown Steel Drive, Unit 7, Markham, ON L3R 9X9, Canada",https://www.yelp.com/biz/gta-phone-repairs-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"IT Services & Computer Repair, Electronics Repair",https://www.yelp.com/biz/gta-phone-repairs-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,gta-phone-repairs-markham
Rosebud Technologies,5,2,N/A,+1 905-752-0444,"110 Konrad Cres., Unit 10, Markham, ON L3R 9X2, Canada",https://www.yelp.com/biz/rosebud-technologies-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Data Recovery, Electronics Repair",https://www.yelp.com/biz/rosebud-technologies-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,rosebud-technologies-markham
Futuretel Service Centre,1.8,38,N/A,+1 905-415-0197,"570 Alden Road, Markham, ON L3R 8N5, Canada",https://www.yelp.com/biz/futuretel-service-centre-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phones,https://www.yelp.com/biz/futuretel-service-centre-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,futuretel-service-centre-markham
SmartPhone Lab,0,0,N/A,+1 416-366-2700,"160 E Beaver Creek, Unit 19, Richmond Hill, ON L4B 3L4, Canada",https://www.yelp.com/biz/smartphone-lab-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electronics Repair,https://www.yelp.com/biz/smartphone-lab-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,smartphone-lab-richmond-hill
Connextel Communications,1.3,9,N/A,+1 289-831-1588,"118 Holland Street E, Unit 2A, Bradford, ON L3Z, Canada",https://www.yelp.com/biz/connextel-communications-bradford?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Telecommunications, Internet Service Providers, Mobile Phone Repair",https://www.yelp.com/biz/connextel-communications-bradford?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,connextel-communications-bradford
