Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Allo Allo Wireless,4.9,14,N/A,+1 613-262-0684,"738 Bronson Avenue, Ottawa, ON K1S 4G3, Canada",https://www.yelp.com/biz/allo-allo-wireless-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/allo-allo-wireless-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,allo-allo-wireless-ottawa
Hotspot Mobile Repairs,5,4,N/A,+1 613-324-4994,"572 Bronson Avenue, Ottawa, ON K1R 6K2, Canada",https://www.yelp.com/biz/hotspot-mobile-repairs-ottawa-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/hotspot-mobile-repairs-ottawa-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,hotspot-mobile-repairs-ottawa-3
RCP PLus,4,3,N/A,+1 613-422-6960,"1 Nicholas Street, Ottawa, ON K1N 7B7, Canada",https://www.yelp.com/biz/rcp-plus-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Accessories, Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/rcp-plus-ottawa-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,rcp-plus-ottawa-2
Le Coin Du Cellulaire,1,1,N/A,+1 819-684-8888,"137a Rue Principale, Gatineau, QC J9H 3M6, Canada",https://www.yelp.com/biz/le-coin-du-cellulaire-gatineau?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phone Accessories, Electronics Repair",https://www.yelp.com/biz/le-coin-du-cellulaire-gatineau?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,le-coin-du-cellulaire-gatineau
Mobile Surgeons,2,7,N/A,+1 613-979-0059,"203 Dalhousie Street, Ottawa, ON K1N 7C9, Canada",https://www.yelp.com/biz/mobile-surgeons-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/mobile-surgeons-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,mobile-surgeons-ottawa
uBreakiFix,0,0,N/A,+1 819-303-2669,"325 Boulevard Gréber, Unit G2, Gatineau, QC J8T 8J3, Canada",https://www.yelp.com/biz/ubreakifix-gatineau?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/ubreakifix-gatineau?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,ubreakifix-gatineau
Hi-Tech Cellphone & Computer Repairs,3.7,3,N/A,+1 613-656-9398,"1915 Baseline Road, Unit 201, Ottawa, ON K2C 0C7, Canada",https://www.yelp.com/biz/hi-tech-cellphone-and-computer-repairs-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/hi-tech-cellphone-and-computer-repairs-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,hi-tech-cellphone-and-computer-repairs-ottawa
CellFurb Ottawa,0,0,N/A,+1 877-350-3872,"Ottawa, ON K1N 0A8, Canada",https://www.yelp.com/biz/cellfurb-ottawa-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/cellfurb-ottawa-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,cellfurb-ottawa-ottawa
Mobilinq Ottawa,5,3,N/A,+1 613-424-2585,"110 Place D'Orleans Drive, Ottawa, ON K1C 2L9, Canada",https://www.yelp.com/biz/mobilinq-ottawa-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Mobile Phone Accessories",https://www.yelp.com/biz/mobilinq-ottawa-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,mobilinq-ottawa-ottawa
ifixanyfone,1,1,N/A,+1 613-606-1467,"1414 Walkley Road, Ottawa, ON K1V 6P5, Canada",https://www.yelp.com/biz/ifixanyfone-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/ifixanyfone-ottawa?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Ottawa,ifixanyfone-ottawa
