Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
i-Technique,4.3,27,N/A,+1 416-322-8324,"2103 Yonge Street, Toronto, ON M4S 2A4, Canada",https://www.yelp.com/biz/i-technique-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,IT Services & Computer Repair,https://www.yelp.com/biz/i-technique-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,i-technique-toronto
Ask Computers,4.4,62,N/A,+1 416-862-9595,"111 Front Street E, Toronto, ON M5A 4S5, Canada",https://www.yelp.com/biz/ask-computers-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,IT Services & Computer Repair,https://www.yelp.com/biz/ask-computers-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,ask-computers-toronto-5
City Cloud Cell Phone & Computer Repair,5,4,N/A,+1 416-588-3019,"1382 Saint Clair Avenue West, Toronto, ON M6E 1C6, Canada",https://www.yelp.com/biz/city-cloud-cell-phone-and-computer-repair-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair, Mobile Phone Accessories",https://www.yelp.com/biz/city-cloud-cell-phone-and-computer-repair-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,city-cloud-cell-phone-and-computer-repair-toronto-2
All About Tech,5,2,N/A,+1 416-923-1523,"584 St Clair Avenue W, Toronto, ON M5R 2V9, Canada",https://www.yelp.com/biz/all-about-tech-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/all-about-tech-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,all-about-tech-toronto
iFix Mobile,4.9,10,N/A,+1 416-519-8600,"615 Mount Pleasant Rd, Toronto, ON M4S 2M5, Canada",https://www.yelp.com/biz/ifix-mobile-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair",https://www.yelp.com/biz/ifix-mobile-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,ifix-mobile-toronto-5
Eclise Technology,0,0,N/A,+1 437-217-8163,"1608 Weston Road, Toronto, ON M9N 1T9, Canada",https://www.yelp.com/biz/eclise-technology-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/eclise-technology-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,eclise-technology-toronto-3
The Repair Store,3,8,N/A,+1 416-487-5501,"2470 Yonge Street, Toronto, ON M4P 2H5, Canada",https://www.yelp.com/biz/the-repair-store-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/the-repair-store-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,the-repair-store-toronto
St Clair Wireless,5,2,N/A,+1 416-901-5858,"539 St Clair Avenue W, Toronto, ON M6C 1A3, Canada",https://www.yelp.com/biz/st-clair-wireless-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/st-clair-wireless-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,st-clair-wireless-toronto-2
CPR Cell Phone Repair Toronto,4.1,20,N/A,+1 647-748-2355,"3200 Dufferin Street, Unit 14B, Toronto, ON M6A 3B2, Canada",https://www.yelp.com/biz/cpr-cell-phone-repair-toronto-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Electronics Repair, Mobile Phone Repair",https://www.yelp.com/biz/cpr-cell-phone-repair-toronto-toronto-5?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,cpr-cell-phone-repair-toronto-toronto-5
SELLTECK,4.6,43,N/A,+1 416-625-6462,"576 Dundas St W, Toronto, ON M5T 1H5, Canada",https://www.yelp.com/biz/sellteck-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair",https://www.yelp.com/biz/sellteck-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,sellteck-toronto
