Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
F1 Plumbing Services,4.8,49,N/A,+1 647-293-3269,"Toronto, ON M5T 1K6, Canada",https://www.yelp.com/biz/f1-plumbing-services-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/f1-plumbing-services-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,f1-plumbing-services-toronto-2
Mike The Plumber 4 U,4.3,22,N/A,+1 416-333-9325,"Toronto, ON M6M 0A1, Canada",https://www.yelp.com/biz/mike-the-plumber-4-u-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Plumbing, Water Heater Installation/Repair, Septic Services",https://www.yelp.com/biz/mike-the-plumber-4-u-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,mike-the-plumber-4-u-toronto
Top Canada Plumbing,5,1,N/A,+1 416-876-4564,"Pickering, ON L1V 7H9, Canada",https://www.yelp.com/biz/top-canada-plumbing-pickering?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/top-canada-plumbing-pickering?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,top-canada-plumbing-pickering
Drain King Plumbers,2.8,9,N/A,+1 647-956-0539,"100 St Regis Crescent S, Suite 8, North York, ON M3J 1Y8, Canada",https://www.yelp.com/biz/drain-king-plumbers-north-york-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Plumbing, Septic Services, Water Heater Installation/Repair",https://www.yelp.com/biz/drain-king-plumbers-north-york-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,drain-king-plumbers-north-york-3
Red Leaf Plumbing & Drain,0,0,N/A,+1 905-301-6788,"Milton, ON L9T 2Y4, Canada",https://www.yelp.com/biz/red-leaf-plumbing-and-drain-milton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/red-leaf-plumbing-and-drain-milton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,red-leaf-plumbing-and-drain-milton
ExpressRooter Plumbing,3.2,5,N/A,+1 416-233-2660,"1093 Lakeshore Road East, Mississauga, ON L5E 1E8, Canada",https://www.yelp.com/biz/expressrooter-plumbing-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/expressrooter-plumbing-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,expressrooter-plumbing-mississauga-2
Mr. Rooter Plumbing of Toronto ON,1.9,15,N/A,+1 416-699-8623,"27 Glenmount Park Rd, Toronto, ON M4E 2M8, Canada",https://www.yelp.com/biz/mr-rooter-plumbing-of-toronto-on-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/mr-rooter-plumbing-of-toronto-on-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,mr-rooter-plumbing-of-toronto-on-toronto
Plumber To Your Door,5,1,N/A,+1 866-306-2080,"509 Bloor St W, Toronto, ON M5S 1Y2, Canada",https://www.yelp.com/biz/plumber-to-your-door-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/plumber-to-your-door-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,plumber-to-your-door-toronto-2
True Service Plumbing & Drain,5,1,N/A,+1 647-200-5238,"180 Brock Avenue, Toronto, ON M6K 2L6, Canada",https://www.yelp.com/biz/true-service-plumbing-and-drain-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Water Heater Installation/Repair, Plumbing",https://www.yelp.com/biz/true-service-plumbing-and-drain-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,true-service-plumbing-and-drain-toronto
Dima Plumbing,5,6,N/A,+1 647-289-9576,"25 Pamgrey Road, Markham, ON L6E 0B2, Canada",https://www.yelp.com/biz/dima-plumbing-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/dima-plumbing-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,dima-plumbing-markham
Quick Response Plumbing & Drain,5,7,N/A,+1 416-999-2999,"1170 Bay Street, Suite 292, Toronto, ON M5S 2B4, Canada",https://www.yelp.com/biz/quick-response-plumbing-and-drain-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/quick-response-plumbing-and-drain-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,quick-response-plumbing-and-drain-toronto
Leaside Plumbing & Heating Limited,4.4,16,N/A,+1 416-423-8682,"126 Laird Drive, East York, ON M4G 3V3, Canada",https://www.yelp.com/biz/leaside-plumbing-and-heating-limited-east-york-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Plumbing, Heating & Air Conditioning/HVAC",https://www.yelp.com/biz/leaside-plumbing-and-heating-limited-east-york-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,leaside-plumbing-and-heating-limited-east-york-2
Mr. Rooter Plumbing of North York ON,3.6,23,N/A,+1 416-742-3137,"71 Penn Dr, North York, ON M9L 2A6, Canada",https://www.yelp.com/biz/mr-rooter-plumbing-of-north-york-on-north-york-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/mr-rooter-plumbing-of-north-york-on-north-york-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,mr-rooter-plumbing-of-north-york-on-north-york-2
Living Services Plumbing Repair,3.8,10,N/A,+1 416-619-4455,"110 Cumberland Street, Suite 196, Toronto, ON M5R 1A6, Canada",https://www.yelp.com/biz/living-services-plumbing-repair-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/living-services-plumbing-repair-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,living-services-plumbing-repair-toronto
GTA Restoration,0,0,N/A,+1 800-506-6048,"234 Bay Street, Toronto, ON M5K 1B2, Canada",https://www.yelp.com/biz/gta-restoration-toronto-7?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Damage Restoration, Plumbing, Environmental Abatement",https://www.yelp.com/biz/gta-restoration-toronto-7?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,gta-restoration-toronto-7
Preferred Plumbing Solutions,3.5,4,N/A,+1 647-956-4042,"350 John Street, Suite 6, Markham, ON L3T 5W6, Canada",https://www.yelp.com/biz/preferred-plumbing-solutions-markham-7?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/preferred-plumbing-solutions-markham-7?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,preferred-plumbing-solutions-markham-7
Aria Plumbing,5,1,N/A,+1 647-765-7484,"517 Brown's Line, Etobicoke, ON M8W 3V1, Canada",https://www.yelp.com/biz/aria-plumbing-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Plumbing, Water Heater Installation/Repair, Water Purification Services",https://www.yelp.com/biz/aria-plumbing-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,aria-plumbing-etobicoke
Creed Plumbing,0,0,N/A,+1 647-994-9450,"Toronto, ON M6P 2E4, Canada",https://www.yelp.com/biz/creed-plumbing-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/creed-plumbing-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,creed-plumbing-toronto
Ace Plumbing Services,0,0,N/A,+1 416-702-5993,"18 King Street E, Suite 1400, Toronto, ON M5C 1C4, Canada",https://www.yelp.com/biz/ace-plumbing-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Plumbing,https://www.yelp.com/biz/ace-plumbing-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,ace-plumbing-services-toronto
Drain Relief,5,4,N/A,+1 416-908-2892,"Toronto, ON M4C 1M5, Canada",https://www.yelp.com/biz/drain-relief-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Plumbing, Waterproofing",https://www.yelp.com/biz/drain-relief-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton ,drain-relief-toronto
