Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Canadian Electric,0,0,N/A,+1 416-743-7816,"Toronto, ON M9V 3A5, Canada",https://www.yelp.com/biz/canadian-electric-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Security Systems, Lighting Fixtures & Equipment",https://www.yelp.com/biz/canadian-electric-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,canadian-electric-toronto-2
Spark Up Electric,0,0,N/A,+1 647-684-3831,"Toronto, ON M9V 3P6, Canada",https://www.yelp.com/biz/spark-up-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/spark-up-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,spark-up-electric-toronto
Calvert Electrical Solutions,0,0,N/A,+1 647-718-3230,"Mississauga, ON L4T 0A4, Canada",https://www.yelp.com/biz/calvert-electrical-solutions-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment, EV Charging Stations",https://www.yelp.com/biz/calvert-electrical-solutions-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,calvert-electrical-solutions-mississauga-2
B S Reno,0,0,N/A,+1 647-500-8592,"Mississauga, ON L4T 2Y3, Canada",https://www.yelp.com/biz/b-s-reno-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Flooring, Electricians, General Contractors",https://www.yelp.com/biz/b-s-reno-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,b-s-reno-mississauga
Green Planet Electric,5,2,N/A,+1 416-561-8384,"2737 Kipling Avenue, Toronto, ON M9V 4C3, Canada",https://www.yelp.com/biz/green-planet-electric-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/green-planet-electric-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,green-planet-electric-toronto-2
4U Electrical Works,0,0,N/A,+1 647-779-7835,"57 Autumn Glen Circle, Etobicoke, ON M9W 6B3, Canada",https://www.yelp.com/biz/4u-electrical-works-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/4u-electrical-works-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,4u-electrical-works-etobicoke
Argon Electric,0,0,N/A,+1 416-213-1516,"15 Thoroughbred Crescent, Etobicoke, ON M9W 6X6, Canada",https://www.yelp.com/biz/argon-electric-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/argon-electric-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,argon-electric-etobicoke
B&M Electric,5,1,N/A,+1 416-877-7854,"Toronto, ON M9V, Canada",https://www.yelp.com/biz/b-and-m-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Home Theatre Installation, Home Automation",https://www.yelp.com/biz/b-and-m-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,b-and-m-electric-toronto
Ace Electrical,0,0,N/A,+1 647-513-7621,"Toronto, ON M9V 5A9, Canada",https://www.yelp.com/biz/ace-electrical-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/ace-electrical-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,ace-electrical-toronto
AMPS Electro-Mechanical,0,0,N/A,+1 647-716-2677,"7542 Bath Road, Mississauga, ON L4T 1L2, Canada",https://www.yelp.com/biz/amps-electro-mechanical-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/amps-electro-mechanical-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,amps-electro-mechanical-mississauga
Solutions Electrical & Maintenance,0,0,N/A,+1 416-766-0466,"38-19 Kenview Blvd, Brampton, ON L6T 5G7, Canada",https://www.yelp.com/biz/solutions-electrical-and-maintenance-brampton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Lighting Fixtures & Equipment, Electricians, Home Automation",https://www.yelp.com/biz/solutions-electrical-and-maintenance-brampton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,solutions-electrical-and-maintenance-brampton
Bracer EV,0,0,N/A,+1 416-475-4323,"Mississauga, ON L4T 0A4, Canada",https://www.yelp.com/biz/bracer-ev-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/bracer-ev-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,bracer-ev-mississauga
Mahato Electric,0,0,N/A,+1 647-569-5544,"8 Frost King Lane, Toronto, ON M9W 0A4, Canada",https://www.yelp.com/biz/mahato-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, TV Mounting, Lighting Fixtures & Equipment",https://www.yelp.com/biz/mahato-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,mahato-electric-toronto
Campoli Electric,0,0,N/A,+1 416-213-9523,"2 Steinway Boulevard, Unit 8&9, Etobicoke, ON M9W 6J8, Canada",https://www.yelp.com/biz/campoli-electric-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Lighting Fixtures & Equipment, Electricians",https://www.yelp.com/biz/campoli-electric-etobicoke?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,campoli-electric-etobicoke
