Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Elmar Electric,4.7,3,N/A,+1 844-443-5627,"2800 14th Avenue, Unit 18, Markham, ON L3R 0E4, Canada",https://www.yelp.com/biz/elmar-electric-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/elmar-electric-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,elmar-electric-markham-2
Sol Electric,0,0,N/A,+1 416-628-6444,"120 Angus Drive, Toronto, ON M2J 2X1, Canada",https://www.yelp.com/biz/sol-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment, Home Automation",https://www.yelp.com/biz/sol-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,sol-electric-toronto
Electra KNS,0,0,N/A,+1 416-902-4103,"Toronto, ON M2K 1W9, Canada",https://www.yelp.com/biz/electra-kns-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Appliances & Repair",https://www.yelp.com/biz/electra-kns-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,electra-kns-toronto
Ryu Electric,5,1,N/A,+1 416-277-6322,"200 Steelcase Road East, Markham, ON L3R 3A5, Canada",https://www.yelp.com/biz/ryu-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/ryu-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,ryu-electric-markham
Signature Electric,5,1,N/A,+1 416-490-8093,"400 Esna Park Drive, Unit 1, Markham, ON L3R 3K2, Canada",https://www.yelp.com/biz/signature-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/signature-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,signature-electric-markham
One Electrical Solutions,0,0,N/A,+1 647-676-8191,"8 Rean Drive, North York, ON M2K 3B9, Canada",https://www.yelp.com/biz/one-electrical-solutions-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Home Inspectors, Lighting Fixtures & Equipment",https://www.yelp.com/biz/one-electrical-solutions-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,one-electrical-solutions-north-york
Daliran Electric,0,0,N/A,+1 416-844-6020,"46 Mosedale Crescent, Toronto, ON M2J 3A4, Canada",https://www.yelp.com/biz/daliran-electric-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/daliran-electric-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,daliran-electric-toronto-2
Powerlink Electric,0,0,N/A,+1 647-527-1188,"5845 Leslie St, North York, ON M2H 1J8, Canada",https://www.yelp.com/biz/powerlink-electric-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"TV Mounting, Electricians, Home Automation",https://www.yelp.com/biz/powerlink-electric-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,powerlink-electric-north-york
Won Electrical Systems,0,0,N/A,+1 437-973-9967,"Toronto, ON M2H 2B2, Canada",https://www.yelp.com/biz/won-electrical-systems-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/won-electrical-systems-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,won-electrical-systems-toronto
Berg Electric,0,0,N/A,+1 416-243-0110,"Thornhill, ON L3T 1M5, Canada",https://www.yelp.com/biz/berg-electric-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/berg-electric-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,berg-electric-thornhill
