Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Electric Matter,4.5,24,N/A,+1 416-879-3965,"Toronto, ON, Canada",https://www.yelp.com/biz/electric-matter-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/electric-matter-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,electric-matter-toronto
Reform Electric,5,1,N/A,+1 416-894-4128,"Toronto, ON M5S 1A1, Canada",https://www.yelp.com/biz/reform-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/reform-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,reform-electric-toronto
DSD Electric,5,2,N/A,+1 416-917-5067,"Toronto, ON M5A 0A1, Canada",https://www.yelp.com/biz/dsd-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/dsd-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,dsd-electric-toronto
Rushforth Electric,5,4,N/A,+1 416-421-7262,"2889 St Clair Avenue E, Unit 5, East York, ON M4B 1B5, Canada",https://www.yelp.com/biz/rushforth-electric-east-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Lighting Fixtures & Equipment, Electricians",https://www.yelp.com/biz/rushforth-electric-east-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,rushforth-electric-east-york
Henry & Son Electric,5,1,N/A,+1 416-828-9751,"Scarborough, ON M1P 4S6, Canada",https://www.yelp.com/biz/henry-and-son-electric-scarborough-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/henry-and-son-electric-scarborough-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,henry-and-son-electric-scarborough-2
High Master Electric,0,0,N/A,+1 647-836-7005,"Markham, ON L3T 0G7, Canada",https://www.yelp.com/biz/high-master-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/high-master-electric-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,high-master-electric-markham
New Phase Electric,5,1,N/A,+1 416-318-9619,"76 Ashbourne Drive, Etobicoke, ON M9B 4H5, Canada",https://www.yelp.com/biz/new-phase-electric-etobicoke-10?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/new-phase-electric-etobicoke-10?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,new-phase-electric-etobicoke-10
Impact Electrical & Mechanical,0,0,N/A,+1 416-205-9187,"315 Front Street W, Toronto, ON M5V 3A4, Canada",https://www.yelp.com/biz/impact-electrical-and-mechanical-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Plumbing, Heating & Air Conditioning/HVAC",https://www.yelp.com/biz/impact-electrical-and-mechanical-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,impact-electrical-and-mechanical-toronto
New Level Electric,0,0,N/A,+1 416-543-0505,"1565 Britannia Road E, Unit 30, Mississauga, ON L4W 3C6, Canada",https://www.yelp.com/biz/new-level-electric-mississauga-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/new-level-electric-mississauga-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,new-level-electric-mississauga-4
Mr. Electric of GTA West,4.3,3,N/A,+1 905-795-9556,"335 Admiral Blvd, Ste 8, Mississauga, ON L5T 2N2, Canada",https://www.yelp.com/biz/mr-electric-of-gta-west-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/mr-electric-of-gta-west-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Hamilton,mr-electric-of-gta-west-mississauga
