Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Electric Matter,4.5,24,N/A,+1 416-879-3965,"Toronto, ON, Canada",https://www.yelp.com/biz/electric-matter-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/electric-matter-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,electric-matter-toronto
Reform Electric,5,1,N/A,+1 416-894-4128,"Toronto, ON M5S 1A1, Canada",https://www.yelp.com/biz/reform-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/reform-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,reform-electric-toronto
Rushforth Electric,5,4,N/A,+1 416-421-7262,"2889 St Clair Avenue E, Unit 5, East York, ON M4B 1B5, Canada",https://www.yelp.com/biz/rushforth-electric-east-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Lighting Fixtures & Equipment, Electricians",https://www.yelp.com/biz/rushforth-electric-east-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,rushforth-electric-east-york
DSD Electric,5,2,N/A,+1 416-917-5067,"Toronto, ON M5A 0A1, Canada",https://www.yelp.com/biz/dsd-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/dsd-electric-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,dsd-electric-toronto
New Phase Electric,5,1,N/A,+1 416-318-9619,"76 Ashbourne Drive, Etobicoke, ON M9B 4H5, Canada",https://www.yelp.com/biz/new-phase-electric-etobicoke-10?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electricians, Lighting Fixtures & Equipment",https://www.yelp.com/biz/new-phase-electric-etobicoke-10?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,new-phase-electric-etobicoke-10
Jiffy On Demand,2.2,39,N/A,+1 647-490-1524,"Toronto, ON M6B 1V9, Canada",https://www.yelp.com/biz/jiffy-on-demand-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Handyman, Electricians, Heating & Air Conditioning/HVAC",https://www.yelp.com/biz/jiffy-on-demand-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,jiffy-on-demand-toronto-2
Eller Home Services,5,1,N/A,+1 437-983-8606,"264 Saint George Street, Toronto, ON M5R 2P5, Canada",https://www.yelp.com/biz/eller-home-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Handyman, TV Mounting, Electricians",https://www.yelp.com/biz/eller-home-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,eller-home-services-toronto
The Handyman Services,5,1,N/A,+1 647-724-4566,"93 Burgosa Court, Woodbridge, ON L4L 5C8, Canada",https://www.yelp.com/biz/the-handyman-services-woodbridge?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Handyman, Electricians, Plumbing",https://www.yelp.com/biz/the-handyman-services-woodbridge?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,the-handyman-services-woodbridge
Connectiv,0,0,N/A,+1 416-908-6407,"Toronto, ON M5V 0M4, Canada",https://www.yelp.com/biz/connectiv-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/connectiv-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,connectiv-toronto
Friendly Neighbourhood Electrician,0,0,N/A,+1 437-236-3107,"Toronto, ON M4B 2J8, Canada",https://www.yelp.com/biz/friendly-neighbourhood-electrician-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electricians,https://www.yelp.com/biz/friendly-neighbourhood-electrician-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,friendly-neighbourhood-electrician-toronto
