Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Barberries Cleaning Services,4.5,2,N/A,+1 416-882-6840,"Richmond Hill, ON L4B 1Y5, Canada",https://www.yelp.com/biz/barberries-cleaning-services-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/barberries-cleaning-services-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,barberries-cleaning-services-richmond-hill
Hustle Clean,1,1,N/A,+1 647-299-5326,"Richmond Hill, ON L4S 1V5, Canada",https://www.yelp.com/biz/hustle-clean-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning, Carpet Cleaning",https://www.yelp.com/biz/hustle-clean-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,hustle-clean-richmond-hill
TH Cleaning,0,0,N/A,+1 437-262-3774,"Richmond Hill, ON L3T 4A2, Canada",https://www.yelp.com/biz/th-cleaning-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/th-cleaning-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,th-cleaning-richmond-hill
Professional Cleaning Solutions,0,0,N/A,+1 647-906-5455,"Markham, ON L3R 8E3, Canada",https://www.yelp.com/biz/professional-cleaning-solutions-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/professional-cleaning-solutions-markham-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,professional-cleaning-solutions-markham-2
MaidPro Thornhill,2,4,N/A,+1 647-371-1265,"9005 Leslie Street, Unit 107, Richmond Hill, ON L4B 1M3, Canada",https://www.yelp.com/biz/maidpro-thornhill-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/maidpro-thornhill-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,maidpro-thornhill-richmond-hill
White Foam Cleaning Services,0,0,N/A,+1 416-274-3669,"Toronto, ON M6P 2S3, Canada",https://www.yelp.com/biz/white-foam-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/white-foam-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,white-foam-cleaning-services-toronto
Green & Spotless,4,1,N/A,+1 416-939-4271,"73 Willowbrook Road, Markham, ON L3T 5K7, Canada",https://www.yelp.com/biz/green-and-spotless-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Carpet Cleaning",https://www.yelp.com/biz/green-and-spotless-markham?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,green-and-spotless-markham
All Clean Pro Services,5,1,N/A,+1 647-624-2169,"Richmond Hill, ON L4C 1M3, Canada",https://www.yelp.com/biz/all-clean-pro-services-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Office Cleaning, Home Cleaning",https://www.yelp.com/biz/all-clean-pro-services-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,all-clean-pro-services-richmond-hill
Active cleaners,1,1,N/A,+1 647-977-2816,"15 Sims Crescent, Unit one, Richmond Hill, ON L4B 1C9, Canada",https://www.yelp.com/biz/active-cleaners-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/active-cleaners-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,active-cleaners-richmond-hill
Let's Get Organized,0,0,N/A,+1 647-472-0546,"Thornhill, ON L3T 3T2, Canada",https://www.yelp.com/biz/lets-get-organized-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Organization, Home Cleaning, Hazardous Waste Disposal",https://www.yelp.com/biz/lets-get-organized-thornhill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Markham,lets-get-organized-thornhill
