Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Rosie,5,9,N/A,,"Toronto, ON M4Y 0A9, Canada",https://www.yelp.com/biz/rosie-toronto-15?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/rosie-toronto-15?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,rosie-toronto-15
Maid4Condos,3.9,51,N/A,+1 647-822-0601,"Toronto, ON M6K 1X9, Canada",https://www.yelp.com/biz/maid4condos-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/maid4condos-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,maid4condos-toronto-2
Fast and Fabulous Cleaning Services,5,1,N/A,+1 647-482-3858,"Toronto, ON M6E 0A1, Canada",https://www.yelp.com/biz/fast-and-fabulous-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/fast-and-fabulous-cleaning-services-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,fast-and-fabulous-cleaning-services-toronto
Trina House Cleaning,5,1,N/A,+1 647-608-3851,"Richmond Hill, ON L4C 0T6, Canada",https://www.yelp.com/biz/trina-house-cleaning-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/trina-house-cleaning-richmond-hill?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,trina-house-cleaning-richmond-hill
2K Elite Catering & Dining Solutions,5,1,N/A,+1 403-431-0235,"Toronto, ON M4V 1K7, Canada",https://www.yelp.com/biz/2k-elite-catering-and-dining-solutions-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Bartenders, Personal Chefs",https://www.yelp.com/biz/2k-elite-catering-and-dining-solutions-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,2k-elite-catering-and-dining-solutions-toronto
Etobicoke Cleaning,5,1,N/A,+1 226-500-7200,"Toronto, ON M9W 3K4, Canada",https://www.yelp.com/biz/etobicoke-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Organization, Home Cleaning",https://www.yelp.com/biz/etobicoke-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,etobicoke-cleaning-toronto
Pure Maids,0,0,N/A,+1 647-563-0041,"111 Davisville, Toronto, ON M4S 1G5, Canada",https://www.yelp.com/biz/pure-maids-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/pure-maids-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,pure-maids-toronto
Friva Cleaning,0,0,N/A,+1 647-609-6838,"Toronto, ON M5M 1C4, Canada",https://www.yelp.com/biz/friva-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/friva-cleaning-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,friva-cleaning-toronto
Shinee,0,0,N/A,+1 416-474-6132,"Toronto, ON M5P 2J7, Canada",https://www.yelp.com/biz/shinee-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Home Cleaning,https://www.yelp.com/biz/shinee-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,shinee-toronto-3
Everyday Clean,0,0,N/A,+1 437-216-5444,"Toronto, ON M2K 0E4, Canada",https://www.yelp.com/biz/everyday-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Home Cleaning, Office Cleaning",https://www.yelp.com/biz/everyday-clean-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Toronto,everyday-clean-toronto
