Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Phone Fact,0,0,N/A,+1 905-528-1611,"12 Ottawa Street N, Hamilton, ON L8H 3Y7, Canada",https://www.yelp.com/biz/phone-fact-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Mobile Phone Accessories",https://www.yelp.com/biz/phone-fact-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,phone-fact-hamilton
Wireless Whiz,2,5,N/A,+1 289-799-1986,"1-1024 Upper Wentworth Street, Hamilton, ON L9A 4V9, Canada",https://www.yelp.com/biz/wireless-whiz-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Mobile Phone Accessories",https://www.yelp.com/biz/wireless-whiz-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,wireless-whiz-hamilton
Global Tech- Cell Phone Repair Shop,2.3,3,N/A,+1 647-293-3178,"6 James St North, Hamilton, ON L8R 2J9, Canada",https://www.yelp.com/biz/global-tech-cell-phone-repair-shop-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair",https://www.yelp.com/biz/global-tech-cell-phone-repair-shop-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,global-tech-cell-phone-repair-shop-hamilton
Cell Tech For Less,3.2,5,N/A,+1 289-389-2525,"224 King Street West, Hamilton, ON L8P 1A9, Canada",https://www.yelp.com/biz/cell-tech-for-less-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, IT Services & Computer Repair, Mobile Phone Accessories",https://www.yelp.com/biz/cell-tech-for-less-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,cell-tech-for-less-hamilton
Finet Wireless,3,2,N/A,+1 905-308-9585,"250 King Street W, Hamilton, ON L8P 1A9, Canada",https://www.yelp.com/biz/finet-wireless-hamilton-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair",https://www.yelp.com/biz/finet-wireless-hamilton-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,finet-wireless-hamilton-3
Today Technology,1,1,N/A,+1 905-902-6848,"445 Ottawa St N, Hamilton, ON L8H 4A2, Canada",https://www.yelp.com/biz/today-technology-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/today-technology-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,today-technology-hamilton
Direct Cell,5,3,N/A,+1 905-506-2000,"66 Mall Road, Unit 2, Hamilton, ON L8V 5B9, Canada",https://www.yelp.com/biz/direct-cell-hamilton-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Mobile Phone Accessories",https://www.yelp.com/biz/direct-cell-hamilton-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,direct-cell-hamilton-2
MS Wireless,0,0,N/A,+1 905-930-8484,"141 Highway 8, Stoney Creek, ON L8G 5C1, Canada",https://www.yelp.com/biz/ms-wireless-stoney-creek-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Mobile Phone Accessories",https://www.yelp.com/biz/ms-wireless-stoney-creek-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,ms-wireless-stoney-creek-2
Mobélease Wireless,0,0,N/A,+1 289-887-7333,"135 Fennell Avenue W, Mohawk College, Hamilton, ON L9C 0E5, Canada",https://www.yelp.com/biz/mob%C3%A9lease-wireless-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/mob%C3%A9lease-wireless-hamilton?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,mobélease-wireless-hamilton
AnywhereFix,5,1,N/A,+1 647-491-4977,"Mississauga, ON L5M 7K9, Canada",https://www.yelp.com/biz/anywherefix-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/anywherefix-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Kitchner,anywherefix-mississauga-2
