Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
Cellular Nation,5,2,N/A,+1 647-388-7667,"9 Elmwood Avenue, Toronto, ON M2N 6R6, Canada",https://www.yelp.com/biz/cellular-nation-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/cellular-nation-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,cellular-nation-toronto
Buy N Cell,3.8,18,N/A,+1 416-768-0110,"251 Sheppard Avenue E, Toronto, ON M2N 3A8, Canada",https://www.yelp.com/biz/buy-n-cell-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Mobile Phone Accessories",https://www.yelp.com/biz/buy-n-cell-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,buy-n-cell-toronto-3
Wireless+,5,1,N/A,+1 416-491-6786,"1800 Sheppard Avenue E, Unit 1099, Fairview Mall, Toronto, ON M2J 5A7, Canada",https://www.yelp.com/biz/wireless-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Mobile Phone Accessories",https://www.yelp.com/biz/wireless-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,wireless-toronto
Revo Phone Repair,5,1,N/A,+1 416-502-9666,"3901 Don Mills Road, North York, ON M2H 2S7, Canada",https://www.yelp.com/biz/revo-phone-repair-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/revo-phone-repair-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,revo-phone-repair-north-york
Gadgets & Gold,3.7,3,N/A,+1 416-490-8886,"2814 Victoria Park Avenue, Toronto, ON M2J 4A8, Canada",https://www.yelp.com/biz/gadgets-and-gold-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Jewelry, Mobile Phone Accessories",https://www.yelp.com/biz/gadgets-and-gold-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,gadgets-and-gold-toronto
iRepex,2.9,25,N/A,+1 416-222-3624,"6030 Yonge Street, Toronto, ON M2M 3W5, Canada",https://www.yelp.com/biz/irepex-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/irepex-toronto-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,irepex-toronto-3
Wind Mobile,1,2,N/A,+1 416-572-0106,"1800 Sheppard Avenue E, Toronto, ON M2J 5A7, Canada",https://www.yelp.com/biz/wind-mobile-toronto-16?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phones,https://www.yelp.com/biz/wind-mobile-toronto-16?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,wind-mobile-toronto-16
Toronto Cell Phone Repairs,0,0,N/A,+1 647-767-9592,"Toronto, ON M2J 2G2, Canada",https://www.yelp.com/biz/toronto-cell-phone-repairs-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/toronto-cell-phone-repairs-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,toronto-cell-phone-repairs-toronto
Ming Fix,0,0,N/A,+1 416-333-7878,"762 Gordon Baker Road, North York, ON M2H 3B4, Canada",https://www.yelp.com/biz/ming-fix-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/ming-fix-north-york?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,ming-fix-north-york
Houmad,0,0,N/A,+1 416-500-6757,"5361 Yonge Street, Toronto, ON M2N 5R6, Canada",https://www.yelp.com/biz/houmad-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics Repair, IT Services & Computer Repair",https://www.yelp.com/biz/houmad-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Mississauga,houmad-toronto
