Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
CPR Cell Phone Repair Etobicoke - Woodbine,2.5,2,N/A,+1 416-740-3334,"190 Queens Plate Drive, Suite B-5, Etobicoke, ON M9W 6Y9, Canada",https://www.yelp.com/biz/cpr-cell-phone-repair-etobicoke-woodbine-etobicoke-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"IT Services & Computer Repair, Mobile Phones, Electronics Repair",https://www.yelp.com/biz/cpr-cell-phone-repair-etobicoke-woodbine-etobicoke-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,cpr-cell-phone-repair-etobicoke-woodbine-etobicoke-3
Leo Electronics,1,2,N/A,+1 416-748-3636,"1770 Albion Road, Unit 45, Toronto, ON M9V 1C2, Canada",https://www.yelp.com/biz/leo-electronics-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Electronics Repair, Electronics",https://www.yelp.com/biz/leo-electronics-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,leo-electronics-toronto
Qaswa Wireless N Computer,0,0,N/A,+1 647-350-6606,"106 Humber College Boulevard, Unit 19, Toronto, ON M9V 4E4, Canada",https://www.yelp.com/biz/qaswa-wireless-n-computer-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,IT Services & Computer Repair,https://www.yelp.com/biz/qaswa-wireless-n-computer-toronto-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,qaswa-wireless-n-computer-toronto-2
Gadget Zone,0,0,N/A,+1 647-901-6448,"Mississauga, ON L4T 2V3, Canada",https://www.yelp.com/biz/gadget-zone-mississauga-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Computers, Mobile Phone Repair, Electronics Repair",https://www.yelp.com/biz/gadget-zone-mississauga-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,gadget-zone-mississauga-4
Best Choice Electronics,5,1,N/A,+1 416-253-4964,"7171 Torbram Road, Unit C-19, Mississauga, ON L4T 3W4, Canada",https://www.yelp.com/biz/best-choice-electronics-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Television Service Providers, Electronics Repair",https://www.yelp.com/biz/best-choice-electronics-mississauga-2?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,best-choice-electronics-mississauga-2
CNP Wireless,0,0,N/A,+1 647-769-4777,"K2- 2200 Martingrove Rd, Toronto, ON M9V 5H9, Canada",https://www.yelp.com/biz/cnp-wireless-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Accessories, Mobile Phone Repair",https://www.yelp.com/biz/cnp-wireless-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,cnp-wireless-toronto
TV Repair Centre,5,2,N/A,+1 416-882-0900,"48 Secretariat Drive, Toronto, ON M9W 6X4, Canada",https://www.yelp.com/biz/tv-repair-centre-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electronics Repair,https://www.yelp.com/biz/tv-repair-centre-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,tv-repair-centre-toronto
Flex-Touch,5,1,N/A,+1 416-831-8888,"7548 Bath Rd, Mississauga, ON L4T 1G3, Canada",https://www.yelp.com/biz/flex-touch-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Electronics Repair,https://www.yelp.com/biz/flex-touch-mississauga?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,flex-touch-mississauga
Rajan Mobile Repair,0,0,N/A,+1 647-625-2459,"6 Kittiwake Avenue, Toronto, ON M9V 4P6, Canada",https://www.yelp.com/biz/rajan-mobile-repair-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Electronics Repair, Mobile Phone Repair",https://www.yelp.com/biz/rajan-mobile-repair-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,rajan-mobile-repair-toronto
Lumiterra,0,0,N/A,+1 416-251-2226,"1911 Albion Road, Toronto, ON M9W 5S8, Canada",https://www.yelp.com/biz/lumiterra-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Lighting Fixtures & Equipment, Electronics Repair",https://www.yelp.com/biz/lumiterra-toronto?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Vaughan,lumiterra-toronto
