Name,Rating,Number of Reviews,Opening Hours,Phone Number,Address,Website,Response Time,Response Rate,Services Provided,Profile Link,Location,Service Tag
iRepairMotown,5,5,N/A,(248) 965-9877,"1420 Washington Ave, Ste 301, Detroit, MI 48226",https://www.yelp.com/biz/irepairmotown-detroit-8?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/irepairmotown-detroit-8?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,irepairmotown-detroit-8
Windsor Wireless,0,0,N/A,+1 519-816-8222,"3244 Walker Road, Windsor, ON N8W 3R8, Canada",https://www.yelp.com/biz/windsor-wireless-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Accessories, Electronics Repair, Mobile Phone Repair",https://www.yelp.com/biz/windsor-wireless-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,windsor-wireless-windsor
The Cellphone Shop Repair Center,5,3,N/A,+1 519-992-1927,"930 Erie Street E, Windsor, ON N9A 3Y8, Canada",https://www.yelp.com/biz/the-cellphone-shop-repair-center-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phone Accessories",https://www.yelp.com/biz/the-cellphone-shop-repair-center-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,the-cellphone-shop-repair-center-windsor
Wireless Warehouse,2.3,12,N/A,+1 519-250-9700,"2730 Howard Avenue, Unit 2, Windsor, ON N8X 3X6, Canada",https://www.yelp.com/biz/wireless-warehouse-windsor-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones",https://www.yelp.com/biz/wireless-warehouse-windsor-4?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,wireless-warehouse-windsor-4
Windsor Computer Repair,0,0,N/A,+1 226-221-0100,"950 Ottawa Street, Unit A, Windsor, ON N8X 2E1, Canada",https://www.yelp.com/biz/windsor-computer-repair-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Data Recovery",https://www.yelp.com/biz/windsor-computer-repair-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,windsor-computer-repair-windsor
First Stop Wireless & Repair,4.2,5,N/A,(248) 894-2865,"22856 Dequindre Rd, Warren, MI 48091",https://www.yelp.com/biz/first-stop-wireless-and-repair-warren?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair, Electronics",https://www.yelp.com/biz/first-stop-wireless-and-repair-warren?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,first-stop-wireless-and-repair-warren
Lacell Tech,5,1,N/A,+1 519-962-3005,"5841 Malden Road, Unit 150, lasalle, ON N9H 1S3, Canada",https://www.yelp.com/biz/lacell-tech-lasalle?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phone Repair, Mobile Phones, Computers",https://www.yelp.com/biz/lacell-tech-lasalle?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,lacell-tech-lasalle
Apples & Oranges,4.3,31,N/A,(734) 623-9000,"8 Nickels Arcade, Ann Arbor, MI 48104",https://www.yelp.com/biz/apples-and-oranges-ann-arbor-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"IT Services & Computer Repair, Electronics Repair",https://www.yelp.com/biz/apples-and-oranges-ann-arbor-3?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,apples-and-oranges-ann-arbor-3
MOBI-MAN,5,1,N/A,+1 519-566-5734,"I332 Wayndotte Avenue E, Windsor, ON N9A 3K7, Canada",https://www.yelp.com/biz/mobi-man-windsor-6?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,Mobile Phone Repair,https://www.yelp.com/biz/mobi-man-windsor-6?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,mobi-man-windsor-6
Logix Mobility,1,2,N/A,+1 519-800-4086,"230 Wyandotte Street E, Windsor, ON N9A 3H4, Canada",https://www.yelp.com/biz/logix-mobility-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,N/A,N/A,"Mobile Phones, Mobile Phone Repair",https://www.yelp.com/biz/logix-mobility-windsor?adjust_creative=nzsOrWQEZA8rEfPyq3271g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=nzsOrWQEZA8rEfPyq3271g,Windsor,logix-mobility-windsor
